n70,g11,g52
n6,g51,g69
n4,g46,g98
n22,g74,g20
n21,g51,g49
n60,g45,g81
n79,g3,g42
n74,g82,g24
n69,g71,g64
n28,g1,g66
n14,g16,g99
n45,g71,g91
n5,g9,g57
n23,g49,g85
n24,g27,g44
n17,g49,g62
n54,g98,g99
n77,g73,g63
n63,g7,g81
n9,g69,g32
n25,g85,g43
n87,g99,g97
n10,g65,g76
n68,g58,g99
n34,g76,g69
n72,g0,g43
n73,g90,g92
n55,g44,g62
n44,g39,g65
n16,g34,g39
n80,g21,g53
n81,g37,g55
n75,g98,g16
n66,g15,g30
n47,g47,g27
n52,g79,g10
n59,g69,g31
n57,g98,g43
n71,g60,g29
n37,g53,g41
n31,g81,g95
n19,g53,g22
n46,g1,g64
n65,g97,g69
n85,g96,g37
n1,g14,g92
n84,g64,g10
n32,g33,g17
n26,g4,g20
n20,g68,g8
n53,g90,g89
n56,g26,g61
n76,g93,g56
n38,g15,g73
n13,g41,g1
n67,g53,g71
n41,g35,g78
n18,g20,g65
n11,g67,g5
n30,g57,g49
n35,g26,g87
n8,g51,g10
n83,g72,g89
n39,g55,g8
n33,g44,g22
n27,g62,g37
n50,g65,g21
n12,g52,g15
n82,g19,g30
n0,g15,g77
n43,g45,g6
n58,g39,g20
n36,g48,g92
n42,g86,g28
n61,g3,g90
n78,g70,g64
n3,g35,g41
n29,g54,g47
n49,g53,g17
n88,g42,g74
n86,g33,g73
n62,g63,g60
n40,g24,g66
n51,g24,g77
n7,g57,g90
n15,g64,g48
n48,g88,g35
n64,g13,g68
n2,g86,g29
