n70,g28,g51
n6,g66,g17
n4,g60,g62
n22,g32,g25
n21,g47,g60
n60,g67,g56
n79,g30,g25
n74,g54,g92
n69,g41,g75
n28,g77,g33
n14,g39,g65
n45,g98,g9
n5,g89,g53
n23,g31,g16
n24,g47,g5
n17,g2,g17
n54,g6,g66
n77,g52,g5
n63,g10,g28
n9,g55,g48
n25,g74,g75
n87,g8,g28
n10,g96,g49
n68,g3,g53
n34,g99,g81
n72,g6,g55
n73,g7,g75
n55,g59,g56
n44,g49,g90
n16,g26,g6
n80,g41,g67
n81,g34,g43
n75,g67,g79
n66,g37,g24
n47,g58,g65
n52,g94,g73
n59,g30,g52
n57,g13,g82
n71,g45,g93
n37,g34,g17
n31,g30,g72
n19,g93,g35
n46,g11,g80
n65,g15,g95
n85,g51,g26
n1,g72,g32
n84,g9,g64
n32,g33,g24
n26,g86,g78
n20,g79,g56
n53,g57,g79
n56,g43,g72
n76,g71,g58
n38,g21,g15
n13,g60,g69
n67,g90,g55
n41,g48,g90
n18,g60,g81
n11,g48,g30
n30,g48,g50
n35,g33,g75
n8,g6,g16
n83,g23,g36
n39,g98,g76
n33,g89,g66
n27,g34,g77
n50,g32,g71
n12,g62,g84
n82,g36,g22
n0,g39,g5
n43,g92,g79
n58,g65,g29
n36,g88,g90
n42,g17,g46
n61,g9,g33
n78,g80,g88
n3,g89,g58
n29,g88,g56
n49,g98,g34
n88,g38,g19
n86,g3,g28
n62,g30,g65
n40,g48,g4
n51,g82,g12
n7,g98,g70
n15,g66,g25
n48,g23,g60
n64,g39,g97
n2,g24,g57
