n70,g61,g51
n65,g69,g1
n6,g64,g44
n35,g73,g79
n4,g25,g78
n32,g27,g4
n72,g81,g68
n74,g73,g91
n26,g2,g11
n21,g44,g90
n60,g41,g39
n20,g86,g48
n73,g48,g80
n51,g97,g45
n69,g96,g45
n71,g64,g54
n28,g16,g33
n77,g73,g97
n14,g31,g42
n45,g35,g63
n39,g42,g47
n5,g69,g95
n23,g92,g62
n24,g17,g95
n54,g86,g58
n16,g3,g19
n17,g90,g76
n18,g96,g6
n63,g81,g80
n9,g89,g65
n25,g63,g32
n30,g78,g59
n31,g45,g90
n10,g95,g66
n43,g43,g66
n68,g40,g3
n34,g79,g76
n8,g6,g39
n53,g41,g0
n55,g69,g19
n38,g38,g42
n33,g71,g30
n62,g28,g79
n11,g55,g98
n27,g13,g59
n50,g89,g46
n44,g83,g94
n12,g4,g93
n67,g11,g81
n75,g5,g50
n0,g99,g14
n22,g59,g58
n58,g98,g38
n36,g13,g84
n42,g8,g78
n61,g9,g66
n78,g51,g75
n3,g8,g7
n29,g70,g7
n47,g25,g65
n49,g1,g74
n52,g20,g83
n59,g38,g9
n57,g97,g33
n66,g47,g8
n37,g94,g35
n13,g74,g69
n40,g40,g35
n19,g6,g94
n46,g9,g5
n7,g72,g95
n15,g42,g11
n48,g28,g36
n41,g36,g74
n76,g33,g52
n64,g49,g62
n56,g90,g10
n2,g31,g12
n1,g45,g76
