n0,g80,g16
n1,g95,g45
n2,g49,g73
n3,g48,g89
n4,g83,g92
n5,g32,g27
n6,g8,g84
n7,g46,g59
n8,g55,g15
n9,g68,g95
n10,g57,g44
n11,g96,g56
n12,g97,g69
n13,g32,g1
n14,g71,g52
n15,g2,g57
n16,g48,g45
n17,g67,g60
n18,g86,g44
n19,g64,g87
n20,g39,g19
n21,g8,g56
n22,g88,g3
n23,g1,g94
n24,g95,g73
n25,g83,g32
n26,g45,g26
n27,g54,g13
n28,g45,g36
n29,g81,g40
n30,g31,g0
n31,g76,g34
n32,g34,g30
n33,g91,g2
n34,g24,g68
n35,g14,g80
n36,g49,g98
n37,g50,g3
n38,g96,g10
n39,g30,g7
n40,g2,g73
n41,g46,g62
n42,g33,g0
n43,g48,g85
n44,g0,g8
n45,g17,g90
n46,g1,g18
n47,g83,g89
n48,g57,g68
n49,g74,g65
n50,g52,g17
n51,g98,g82
n52,g32,g73
n53,g23,g3
n54,g4,g26
n55,g76,g35
n56,g81,g90
n57,g14,g83
n58,g2,g24
n59,g68,g3
n60,g48,g80
n61,g26,g49
n62,g46,g30
n63,g43,g20
n64,g25,g90
n65,g11,g58
n66,g99,g61
n67,g17,g31
n68,g22,g1
n69,g39,g55
n70,g87,g43
n71,g36,g56
n72,g12,g13
n73,g73,g47
n74,g54,g33
n75,g6,g44
n76,g81,g91
n77,g36,g39
n78,g7,g83
n79,g19,g69
n80,g0,g90
n81,g81,g47
n82,g47,g41
n83,g82,g14
n84,g64,g31
n85,g92,g0
n86,g50,g30
n87,g15,g52
n88,g42,g34
n89,g51,g84
n90,g14,g21
n91,g97,g18
n92,g23,g74
n93,g81,g49
n94,g67,g12
n95,g24,g77
n96,g42,g87
n97,g31,g56
n98,g38,g98
n99,g59,g12
