n70,g89,g1
n6,g21,g45
n4,g80,g14
n22,g71,g11
n21,g1,g77
n60,g35,g79
n79,g96,g27
n74,g19,g0
n69,g17,g53
n28,g12,g46
n14,g73,g66
n45,g63,g13
n5,g45,g97
n23,g53,g85
n24,g87,g0
n17,g47,g88
n54,g75,g93
n77,g93,g84
n63,g30,g91
n9,g93,g45
n25,g82,g40
n87,g11,g5
n10,g75,g90
n68,g68,g32
n34,g71,g0
n72,g63,g6
n73,g32,g45
n55,g92,g20
n44,g35,g28
n16,g62,g49
n80,g43,g95
n81,g16,g12
n75,g18,g20
n66,g16,g46
n47,g15,g82
n52,g39,g35
n59,g76,g6
n57,g72,g63
n71,g46,g64
n37,g3,g13
n31,g56,g18
n19,g84,g12
n46,g56,g41
n65,g25,g80
n85,g15,g2
n1,g49,g95
n84,g91,g28
n32,g78,g33
n26,g81,g82
n20,g6,g41
n53,g64,g3
n56,g52,g71
n76,g10,g23
n38,g86,g41
n13,g78,g90
n67,g29,g40
n41,g30,g51
n18,g49,g79
n11,g69,g42
n30,g41,g72
n35,g28,g29
n8,g79,g24
n83,g29,g2
n39,g77,g32
n33,g55,g32
n27,g67,g8
n50,g56,g6
n12,g56,g32
n82,g42,g78
n0,g29,g58
n43,g58,g97
n58,g41,g78
n36,g21,g93
n42,g9,g36
n61,g53,g21
n78,g62,g52
n3,g56,g78
n29,g1,g70
n49,g16,g47
n88,g86,g8
n86,g97,g7
n62,g94,g90
n40,g18,g77
n51,g22,g92
n7,g0,g16
n15,g59,g14
n48,g35,g14
n64,g75,g53
n2,g22,g33
