n70,g15,g57
n65,g81,g33
n6,g89,g14
n35,g86,g95
n4,g88,g84
n32,g67,g46
n72,g24,g54
n74,g12,g33
n26,g7,g24
n21,g73,g60
n60,g27,g42
n20,g67,g13
n73,g56,g12
n51,g86,g36
n69,g63,g50
n71,g67,g11
n28,g35,g46
n14,g13,g23
n45,g56,g69
n39,g48,g74
n5,g93,g18
n23,g32,g27
n24,g82,g72
n54,g20,g90
n16,g83,g75
n17,g78,g51
n18,g28,g8
n63,g33,g80
n9,g87,g94
n25,g24,g5
n30,g65,g21
n31,g79,g99
n10,g59,g28
n43,g14,g62
n68,g28,g44
n34,g27,g77
n8,g17,g95
n53,g95,g28
n55,g57,g8
n38,g91,g63
n33,g20,g76
n62,g4,g12
n11,g64,g0
n27,g5,g9
n50,g90,g46
n44,g16,g72
n12,g84,g55
n67,g35,g75
n75,g11,g28
n0,g9,g45
n22,g18,g60
n58,g1,g15
n36,g23,g97
n42,g58,g65
n61,g84,g80
n3,g32,g76
n29,g8,g63
n47,g11,g17
n49,g52,g95
n52,g73,g35
n59,g89,g7
n57,g99,g69
n66,g82,g94
n37,g92,g91
n13,g47,g19
n40,g79,g11
n19,g10,g73
n46,g72,g91
n7,g73,g9
n15,g55,g42
n48,g62,g86
n41,g46,g96
n64,g92,g27
n56,g76,g89
n2,g41,g91
n1,g96,g78
