n0,g74,g0
n1,g26,g63
n2,g38,g54
n3,g56,g75
n4,g57,g55
n5,g44,g35
n6,g23,g65
n7,g44,g39
n8,g28,g80
n9,g7,g17
n10,g36,g80
n11,g93,g22
n12,g32,g46
n13,g15,g76
n14,g24,g70
n15,g61,g41
n16,g43,g86
n17,g10,g26
n18,g32,g57
n19,g48,g60
n20,g51,g63
n21,g46,g84
n22,g66,g17
n23,g90,g65
n24,g26,g4
n25,g4,g86
n26,g84,g31
n27,g49,g57
n28,g29,g58
n29,g6,g54
n30,g82,g84
n31,g87,g86
n32,g92,g57
n33,g99,g98
n34,g83,g80
n35,g2,g32
n36,g69,g9
n37,g0,g6
n38,g37,g15
n39,g87,g96
n40,g9,g15
n41,g22,g70
n42,g81,g63
n43,g99,g74
n44,g7,g69
n45,g81,g33
n46,g51,g35
n47,g84,g53
n48,g31,g90
n49,g23,g21
n50,g51,g78
n51,g61,g69
n52,g13,g5
n53,g55,g72
n54,g51,g86
n55,g50,g75
n56,g72,g21
n57,g24,g10
n58,g42,g59
n59,g0,g3
n60,g65,g88
n61,g0,g72
n62,g8,g60
n63,g51,g28
n64,g97,g96
n65,g92,g38
n66,g2,g59
n67,g42,g63
n68,g68,g49
n69,g97,g35
n70,g66,g18
n71,g94,g53
n72,g11,g5
n73,g7,g93
n74,g40,g89
n75,g87,g79
n76,g7,g48
n77,g84,g29
n78,g39,g97
n79,g25,g94
n80,g81,g29
n81,g21,g99
n82,g1,g70
n83,g22,g21
n84,g36,g83
n85,g29,g66
n86,g22,g94
n87,g98,g18
n88,g50,g95
n89,g5,g74
n90,g54,g19
n91,g2,g86
n92,g47,g40
n93,g38,g75
n94,g25,g50
n95,g90,g49
n96,g42,g49
n97,g37,g88
n98,g39,g70
n99,g19,g18
n100,g65,g7
n101,g94,g37
n102,g13,g24
n103,g32,g91
n104,g93,g37
n105,g43,g94
n106,g38,g2
n107,g37,g28
n108,g59,g6
n109,g3,g22
n110,g96,g74
n111,g48,g15
n112,g71,g59
n113,g20,g60
n114,g16,g62
n115,g42,g48
n116,g40,g79
n117,g47,g76
n118,g70,g9
n119,g31,g64
n120,g3,g58
n121,g25,g10
n122,g12,g21
n123,g35,g42
n124,g68,g80
n125,g93,g76
n126,g41,g31
n127,g40,g20
n128,g77,g53
n129,g71,g64
n130,g49,g61
n131,g78,g8
n132,g62,g64
n133,g63,g96
n134,g24,g73
n135,g4,g10
n136,g46,g36
n137,g46,g35
n138,g40,g18
n139,g17,g95
n140,g56,g9
n141,g3,g14
n142,g23,g96
n143,g17,g25
n144,g67,g71
n145,g36,g41
n146,g81,g82
n147,g92,g12
n148,g54,g12
n149,g93,g4
n150,g50,g19
n151,g99,g39
n152,g82,g23
n153,g82,g33
n154,g31,g20
n155,g17,g32
n156,g92,g16
n157,g36,g87
n158,g44,g9
n159,g61,g20
