n70,g0,g71
n65,g8,g70
n6,g81,g74
n35,g62,g41
n4,g57,g92
n32,g57,g18
n26,g73,g60
n21,g86,g22
n60,g37,g62
n20,g82,g25
n51,g19,g70
n69,g96,g19
n28,g64,g37
n14,g81,g25
n45,g86,g36
n39,g15,g3
n5,g87,g28
n23,g83,g76
n24,g76,g36
n54,g55,g93
n16,g56,g61
n17,g89,g2
n18,g97,g45
n63,g13,g89
n9,g65,g33
n25,g65,g21
n30,g44,g36
n31,g68,g13
n10,g76,g78
n43,g44,g41
n68,g92,g7
n34,g28,g10
n8,g13,g23
n53,g19,g26
n55,g96,g4
n38,g23,g79
n33,g61,g64
n62,g3,g84
n11,g35,g29
n27,g91,g53
n50,g87,g42
n44,g64,g67
n12,g58,g43
n67,g96,g7
n0,g98,g22
n22,g20,g56
n58,g74,g72
n36,g44,g80
n42,g71,g30
n61,g96,g68
n3,g97,g19
n29,g87,g85
n47,g19,g54
n49,g59,g58
n52,g22,g27
n59,g31,g51
n57,g80,g49
n66,g21,g4
n37,g66,g5
n13,g13,g57
n40,g49,g42
n19,g42,g88
n46,g28,g84
n7,g13,g76
n15,g93,g6
n48,g92,g84
n41,g39,g42
n64,g66,g55
n56,g12,g58
n2,g33,g92
n1,g18,g58
