n70,g79,g25
n65,g34,g52
n6,g97,g40
n35,g89,g73
n4,g43,g15
n32,g72,g76
n72,g10,g46
n74,g53,g85
n26,g96,g23
n21,g21,g24
n60,g63,g93
n20,g93,g7
n73,g9,g83
n51,g36,g24
n69,g18,g56
n71,g52,g24
n28,g48,g54
n14,g48,g7
n45,g88,g15
n39,g58,g9
n5,g80,g17
n23,g47,g58
n24,g64,g60
n54,g60,g56
n16,g86,g15
n17,g37,g29
n18,g92,g91
n63,g17,g2
n9,g89,g84
n25,g12,g99
n30,g54,g96
n31,g48,g44
n10,g40,g24
n43,g0,g87
n68,g17,g58
n34,g66,g30
n8,g7,g80
n53,g5,g86
n55,g17,g13
n38,g22,g27
n33,g28,g59
n62,g80,g98
n11,g50,g22
n27,g42,g45
n50,g56,g49
n44,g45,g82
n12,g59,g16
n67,g23,g13
n75,g10,g81
n0,g54,g0
n22,g84,g78
n58,g81,g36
n36,g74,g24
n42,g33,g70
n61,g32,g49
n3,g8,g85
n29,g40,g67
n47,g48,g16
n49,g53,g81
n52,g21,g76
n59,g77,g45
n57,g48,g74
n66,g32,g53
n37,g21,g66
n13,g63,g64
n40,g5,g39
n19,g46,g63
n46,g38,g97
n7,g53,g20
n15,g59,g36
n48,g15,g7
n41,g34,g10
n64,g50,g53
n56,g59,g68
n2,g70,g32
n1,g45,g35
