n70,g37,g49
n65,g92,g7
n6,g44,g26
n35,g33,g60
n4,g69,g56
n32,g10,g86
n72,g23,g62
n26,g16,g47
n21,g50,g30
n60,g97,g71
n20,g91,g55
n73,g51,g27
n51,g52,g89
n69,g1,g33
n71,g82,g58
n28,g35,g76
n14,g47,g4
n45,g30,g4
n39,g47,g69
n5,g40,g96
n23,g66,g54
n24,g2,g1
n54,g46,g55
n16,g71,g51
n17,g77,g75
n18,g74,g84
n63,g36,g15
n9,g43,g19
n25,g88,g59
n30,g64,g19
n31,g77,g28
n10,g36,g50
n43,g68,g64
n68,g79,g8
n34,g22,g4
n8,g72,g35
n53,g85,g51
n55,g90,g76
n38,g39,g97
n33,g71,g3
n62,g0,g21
n11,g32,g84
n27,g39,g76
n50,g90,g33
n44,g86,g43
n12,g16,g86
n67,g81,g87
n0,g52,g58
n22,g99,g22
n58,g57,g25
n36,g38,g85
n42,g86,g36
n61,g83,g60
n3,g34,g76
n29,g11,g77
n47,g52,g71
n49,g75,g10
n52,g89,g61
n59,g44,g52
n57,g86,g66
n66,g93,g50
n37,g43,g14
n13,g5,g47
n40,g68,g98
n19,g51,g57
n46,g30,g42
n7,g36,g1
n15,g50,g8
n48,g34,g15
n41,g34,g46
n64,g53,g93
n56,g68,g31
n2,g8,g95
n1,g53,g66
