n70,g3,g86
n6,g91,g71
n4,g48,g16
n22,g40,g67
n21,g46,g51
n60,g33,g61
n79,g41,g56
n74,g32,g21
n69,g69,g43
n28,g30,g52
n14,g87,g96
n45,g26,g29
n5,g30,g73
n23,g52,g23
n24,g32,g37
n17,g65,g98
n54,g90,g43
n77,g95,g84
n63,g59,g18
n9,g77,g40
n25,g8,g96
n10,g97,g0
n68,g2,g59
n34,g85,g62
n72,g72,g59
n73,g14,g65
n55,g31,g30
n44,g24,g19
n16,g83,g88
n80,g68,g75
n81,g69,g28
n75,g79,g16
n66,g62,g19
n47,g5,g26
n52,g79,g47
n59,g38,g42
n57,g53,g3
n71,g15,g81
n37,g36,g76
n31,g51,g27
n19,g71,g85
n46,g4,g48
n65,g21,g15
n85,g69,g68
n1,g53,g2
n84,g38,g96
n32,g20,g82
n26,g77,g31
n20,g26,g22
n53,g45,g40
n56,g35,g20
n76,g23,g88
n38,g85,g66
n13,g17,g5
n67,g0,g25
n41,g79,g25
n18,g37,g39
n11,g63,g45
n30,g7,g53
n35,g15,g78
n8,g44,g56
n83,g36,g14
n39,g35,g47
n33,g29,g44
n27,g27,g50
n50,g50,g61
n12,g88,g94
n82,g1,g58
n0,g13,g8
n43,g27,g13
n58,g24,g12
n36,g44,g92
n42,g82,g8
n61,g39,g28
n78,g50,g99
n3,g44,g71
n29,g6,g0
n49,g22,g33
n62,g10,g80
n40,g1,g74
n51,g95,g23
n7,g42,g23
n15,g55,g82
n48,g58,g12
n64,g1,g88
n2,g43,g5
