n70,g38,g1
n6,g75,g37
n4,g18,g24
n22,g54,g29
n21,g87,g69
n60,g39,g8
n79,g9,g21
n74,g81,g97
n69,g26,g63
n28,g76,g31
n14,g43,g72
n45,g7,g22
n5,g49,g12
n23,g60,g26
n24,g6,g96
n17,g13,g82
n54,g15,g87
n77,g47,g9
n63,g52,g51
n9,g28,g70
n25,g89,g14
n87,g63,g83
n10,g29,g98
n68,g72,g0
n34,g29,g35
n72,g0,g20
n73,g76,g35
n55,g53,g5
n44,g45,g55
n16,g2,g77
n80,g58,g23
n81,g81,g55
n75,g29,g40
n66,g94,g59
n47,g58,g66
n52,g43,g27
n59,g6,g72
n57,g50,g82
n71,g97,g93
n37,g49,g18
n31,g10,g19
n19,g21,g45
n46,g19,g57
n65,g26,g94
n85,g99,g56
n1,g26,g84
n84,g54,g50
n32,g84,g21
n26,g31,g47
n20,g33,g8
n53,g17,g87
n56,g47,g16
n76,g73,g42
n38,g53,g69
n13,g28,g67
n67,g81,g76
n41,g60,g29
n18,g78,g28
n11,g85,g28
n30,g91,g99
n35,g85,g98
n8,g57,g59
n83,g23,g56
n39,g3,g70
n33,g34,g35
n27,g28,g81
n50,g48,g9
n12,g51,g15
n82,g2,g70
n0,g77,g70
n43,g24,g97
n58,g81,g92
n36,g82,g60
n42,g16,g88
n61,g65,g4
n78,g9,g57
n3,g17,g61
n29,g95,g94
n49,g80,g74
n86,g8,g88
n62,g84,g65
n40,g6,g18
n51,g41,g3
n7,g20,g35
n15,g63,g22
n48,g68,g53
n64,g41,g95
n2,g23,g17
