n70,g59,g91
n65,g75,g34
n6,g21,g48
n35,g5,g45
n4,g37,g20
n32,g30,g54
n72,g70,g94
n26,g27,g71
n21,g7,g5
n60,g87,g39
n20,g82,g31
n51,g30,g77
n69,g1,g14
n71,g18,g58
n28,g11,g98
n14,g60,g90
n45,g18,g2
n39,g39,g98
n5,g96,g76
n23,g95,g38
n24,g38,g83
n54,g28,g24
n16,g6,g84
n17,g81,g51
n18,g72,g74
n63,g35,g95
n9,g45,g88
n25,g93,g46
n30,g26,g58
n31,g98,g37
n10,g14,g47
n43,g47,g80
n68,g79,g36
n34,g19,g74
n8,g35,g67
n53,g15,g96
n55,g95,g46
n38,g86,g26
n33,g15,g65
n62,g57,g26
n11,g85,g92
n27,g67,g60
n50,g89,g52
n44,g82,g24
n12,g83,g27
n67,g13,g2
n0,g97,g85
n22,g19,g79
n58,g78,g72
n36,g0,g50
n42,g38,g8
n61,g43,g98
n3,g28,g3
n29,g73,g85
n47,g42,g29
n49,g75,g98
n52,g57,g88
n59,g35,g84
n57,g17,g21
n66,g90,g55
n37,g48,g81
n13,g62,g76
n40,g15,g23
n19,g2,g59
n46,g79,g3
n7,g21,g30
n15,g74,g38
n48,g89,g15
n41,g67,g71
n64,g13,g94
n56,g40,g53
n2,g31,g51
n1,g92,g83
