n70,g63,g2
n65,g95,g32
n6,g80,g94
n35,g43,g67
n4,g29,g16
n32,g3,g9
n72,g29,g52
n26,g78,g64
n21,g38,g90
n60,g10,g63
n20,g78,g93
n51,g56,g81
n69,g98,g73
n71,g79,g63
n28,g43,g95
n14,g19,g43
n45,g15,g39
n39,g50,g20
n5,g85,g71
n23,g40,g9
n24,g73,g67
n54,g1,g17
n16,g64,g42
n17,g8,g99
n18,g6,g9
n63,g61,g86
n9,g83,g25
n25,g10,g79
n30,g5,g49
n31,g82,g69
n10,g36,g18
n43,g39,g55
n68,g86,g91
n34,g16,g66
n8,g22,g72
n53,g7,g97
n55,g16,g44
n38,g80,g15
n33,g77,g66
n62,g24,g3
n11,g21,g41
n27,g14,g59
n50,g10,g35
n44,g68,g87
n12,g6,g48
n67,g7,g66
n0,g41,g71
n22,g89,g46
n58,g13,g89
n36,g44,g5
n42,g5,g57
n61,g40,g3
n3,g74,g86
n29,g3,g90
n47,g55,g29
n49,g85,g99
n52,g16,g34
n59,g18,g79
n57,g64,g3
n66,g66,g23
n37,g21,g51
n13,g11,g48
n40,g28,g93
n19,g81,g87
n46,g11,g22
n7,g70,g76
n15,g57,g13
n48,g31,g14
n41,g83,g17
n64,g98,g91
n56,g75,g22
n2,g99,g58
n1,g6,g94
