n70,g67,g71
n65,g66,g64
n6,g39,g51
n35,g57,g78
n4,g20,g75
n32,g94,g69
n72,g80,g84
n83,g52,g65
n74,g81,g60
n26,g10,g84
n21,g92,g37
n60,g55,g88
n20,g23,g8
n73,g74,g3
n51,g33,g51
n69,g54,g20
n71,g83,g97
n28,g10,g33
n77,g54,g26
n14,g84,g42
n45,g56,g46
n39,g21,g72
n5,g2,g16
n23,g78,g90
n24,g72,g86
n54,g56,g35
n16,g3,g28
n82,g5,g68
n17,g84,g17
n18,g5,g43
n63,g71,g44
n9,g83,g50
n25,g23,g81
n30,g82,g96
n31,g26,g11
n10,g14,g58
n43,g31,g0
n68,g13,g58
n34,g56,g86
n8,g48,g33
n79,g28,g90
n53,g71,g72
n55,g19,g54
n38,g51,g40
n33,g80,g20
n62,g29,g38
n11,g15,g29
n27,g75,g96
n50,g63,g61
n44,g86,g21
n12,g30,g25
n67,g58,g10
n75,g36,g30
n80,g62,g81
n0,g78,g66
n22,g50,g78
n81,g48,g30
n58,g69,g15
n36,g51,g1
n42,g78,g64
n61,g55,g82
n78,g25,g33
n3,g45,g25
n29,g30,g9
n47,g80,g55
n49,g55,g13
n52,g8,g87
n59,g2,g57
n57,g50,g76
n66,g82,g46
n37,g52,g15
n13,g82,g19
n40,g61,g34
n19,g86,g73
n46,g66,g43
n7,g91,g5
n15,g53,g7
n48,g62,g11
n41,g83,g59
n76,g73,g41
n64,g60,g38
n56,g0,g12
n2,g60,g9
n1,g14,g98
