n70,g90,g33
n65,g78,g43
n6,g71,g77
n35,g61,g75
n4,g88,g89
n32,g34,g66
n72,g9,g34
n74,g57,g38
n26,g91,g69
n21,g88,g97
n60,g99,g73
n20,g68,g40
n73,g71,g84
n51,g72,g20
n69,g69,g60
n71,g75,g36
n28,g59,g63
n14,g42,g55
n45,g87,g83
n39,g86,g51
n5,g17,g25
n23,g69,g4
n24,g73,g59
n54,g99,g87
n16,g94,g40
n17,g98,g25
n18,g22,g65
n63,g75,g88
n9,g6,g4
n25,g83,g14
n30,g12,g24
n31,g75,g66
n10,g62,g44
n43,g12,g42
n68,g53,g6
n34,g57,g46
n8,g96,g94
n53,g32,g42
n55,g33,g97
n38,g64,g82
n33,g41,g4
n62,g97,g53
n11,g94,g26
n27,g72,g17
n50,g21,g19
n44,g84,g43
n12,g62,g49
n67,g99,g93
n0,g16,g17
n22,g24,g26
n58,g27,g42
n36,g7,g34
n42,g31,g17
n61,g44,g89
n3,g30,g96
n29,g10,g37
n47,g98,g76
n49,g70,g22
n52,g60,g29
n59,g35,g97
n57,g4,g99
n66,g69,g13
n37,g51,g75
n13,g2,g67
n40,g17,g14
n19,g92,g76
n46,g98,g87
n7,g69,g8
n15,g85,g94
n48,g81,g11
n41,g44,g95
n64,g46,g10
n56,g67,g22
n2,g84,g49
n1,g25,g65
