n70,g88,g4
n65,g29,g13
n6,g79,g30
n35,g87,g35
n4,g81,g63
n32,g40,g36
n72,g93,g30
n74,g29,g40
n26,g70,g42
n21,g25,g47
n60,g79,g20
n20,g71,g26
n73,g70,g23
n51,g86,g88
n69,g59,g5
n71,g84,g74
n28,g2,g30
n77,g15,g16
n14,g56,g16
n45,g68,g47
n39,g43,g60
n5,g45,g60
n23,g38,g46
n24,g24,g54
n54,g40,g42
n16,g30,g18
n17,g78,g96
n18,g73,g25
n63,g36,g67
n9,g21,g39
n25,g66,g5
n30,g63,g58
n31,g92,g89
n10,g47,g22
n43,g24,g71
n68,g1,g51
n34,g83,g75
n8,g85,g3
n79,g74,g25
n53,g62,g92
n55,g90,g48
n38,g5,g57
n33,g24,g81
n62,g85,g59
n11,g35,g47
n27,g11,g21
n50,g73,g90
n44,g77,g39
n12,g14,g0
n67,g12,g90
n75,g74,g47
n80,g73,g50
n0,g20,g26
n22,g70,g35
n81,g90,g85
n58,g35,g20
n36,g2,g29
n42,g62,g17
n61,g24,g95
n78,g95,g10
n3,g33,g70
n29,g63,g40
n47,g50,g72
n49,g12,g25
n52,g59,g73
n59,g83,g85
n57,g49,g98
n66,g78,g90
n37,g76,g45
n13,g32,g8
n40,g94,g22
n19,g73,g11
n46,g26,g36
n7,g79,g49
n15,g25,g65
n48,g59,g82
n41,g82,g13
n76,g2,g62
n64,g70,g75
n56,g68,g1
n2,g15,g72
n1,g97,g20
