n0,g36,g80
n1,g75,g8
n2,g13,g67
n3,g12,g25
n4,g56,g39
n5,g81,g30
n6,g66,g38
n7,g83,g22
n8,g43,g50
n9,g50,g94
n10,g26,g1
n11,g93,g10
n12,g65,g95
n13,g39,g68
n14,g88,g64
n15,g65,g24
n16,g7,g65
n17,g33,g12
n18,g49,g39
n19,g57,g63
n20,g39,g71
n21,g81,g8
n22,g26,g93
n23,g53,g16
n24,g95,g47
n25,g42,g40
n26,g97,g81
n27,g9,g12
n28,g21,g6
n29,g92,g6
n30,g33,g38
n31,g1,g68
n32,g61,g48
n33,g4,g87
n34,g26,g10
n35,g46,g98
n36,g83,g89
n37,g92,g36
n38,g35,g26
n39,g78,g88
n40,g77,g22
n41,g21,g42
n42,g95,g46
n43,g23,g54
n44,g38,g53
n45,g86,g46
n46,g91,g45
n47,g28,g7
n48,g58,g84
n49,g25,g95
n50,g39,g9
n51,g97,g62
n52,g7,g27
n53,g44,g63
n54,g54,g8
n55,g72,g27
n56,g58,g27
n57,g19,g25
n58,g41,g47
n59,g12,g10
n60,g79,g62
n61,g26,g22
n62,g73,g69
n63,g31,g30
n64,g16,g50
n65,g40,g85
n66,g0,g3
n67,g60,g15
n68,g89,g54
n69,g2,g84
n70,g68,g34
n71,g27,g60
n72,g52,g66
n73,g46,g33
n74,g88,g37
n75,g27,g47
n76,g42,g15
n77,g51,g67
n78,g23,g93
n79,g37,g42
n80,g13,g64
n81,g42,g98
n82,g80,g4
n83,g33,g17
n84,g95,g57
n85,g10,g2
n86,g64,g63
n87,g40,g44
n88,g57,g82
n89,g8,g1
n90,g69,g20
n91,g11,g68
n92,g3,g87
n93,g69,g28
n94,g99,g98
n95,g74,g2
n96,g30,g48
n97,g90,g93
n98,g10,g7
n99,g34,g50
