n70,g12,g77
n65,g16,g52
n6,g89,g54
n35,g50,g21
n4,g95,g46
n32,g22,g96
n26,g48,g49
n21,g76,g33
n60,g74,g48
n20,g93,g96
n51,g52,g76
n69,g28,g63
n71,g58,g70
n28,g15,g89
n14,g27,g16
n45,g4,g18
n39,g48,g59
n5,g45,g24
n23,g61,g94
n24,g77,g78
n54,g75,g8
n16,g58,g66
n17,g92,g68
n18,g21,g25
n63,g55,g76
n9,g42,g68
n25,g33,g82
n30,g79,g44
n31,g29,g99
n10,g51,g16
n43,g89,g19
n68,g97,g85
n34,g40,g68
n8,g51,g72
n53,g54,g47
n55,g77,g83
n38,g5,g70
n33,g19,g93
n62,g41,g31
n11,g31,g70
n27,g51,g99
n50,g26,g4
n44,g24,g56
n12,g36,g13
n67,g29,g71
n0,g64,g23
n22,g68,g61
n58,g84,g67
n36,g65,g53
n42,g59,g2
n61,g51,g13
n3,g56,g82
n29,g18,g60
n47,g44,g57
n49,g56,g70
n52,g51,g85
n59,g20,g56
n57,g89,g59
n66,g78,g48
n37,g6,g15
n13,g58,g57
n40,g1,g75
n19,g89,g41
n46,g74,g80
n7,g29,g73
n15,g83,g49
n48,g31,g54
n41,g56,g44
n64,g25,g64
n56,g52,g86
n2,g71,g14
n1,g13,g11
