n70,g12,g57
n65,g65,g82
n6,g79,g84
n35,g55,g87
n4,g92,g23
n32,g1,g81
n72,g0,g7
n74,g97,g83
n26,g58,g59
n21,g0,g70
n60,g20,g45
n20,g36,g76
n73,g75,g84
n51,g21,g22
n69,g1,g71
n71,g5,g65
n28,g90,g69
n14,g70,g63
n45,g34,g81
n39,g22,g14
n5,g65,g20
n23,g75,g1
n24,g85,g94
n54,g64,g40
n16,g41,g47
n17,g32,g95
n18,g75,g94
n63,g42,g77
n9,g30,g69
n25,g7,g50
n30,g90,g80
n31,g53,g48
n10,g58,g56
n43,g32,g20
n68,g68,g56
n34,g91,g1
n8,g37,g70
n53,g65,g71
n55,g15,g21
n38,g7,g71
n33,g4,g79
n62,g83,g66
n11,g13,g0
n27,g50,g91
n50,g93,g56
n44,g28,g40
n12,g76,g35
n67,g61,g78
n75,g78,g92
n0,g27,g72
n22,g89,g62
n58,g37,g34
n36,g59,g36
n42,g54,g17
n61,g23,g0
n3,g9,g13
n29,g37,g25
n47,g85,g72
n49,g33,g5
n52,g63,g30
n59,g8,g17
n57,g29,g31
n66,g48,g74
n37,g13,g74
n13,g48,g87
n40,g85,g53
n19,g70,g14
n46,g26,g7
n7,g53,g2
n15,g48,g6
n48,g79,g76
n41,g53,g74
n76,g59,g45
n64,g21,g69
n56,g20,g8
n2,g69,g27
n1,g45,g90
