n70,g60,g93
n6,g39,g50
n4,g17,g63
n22,g91,g7
n21,g91,g50
n60,g25,g29
n79,g32,g79
n74,g13,g7
n69,g33,g10
n28,g26,g18
n14,g51,g21
n45,g56,g25
n5,g80,g3
n23,g96,g41
n24,g82,g72
n17,g89,g82
n54,g0,g58
n77,g56,g29
n63,g87,g75
n9,g9,g12
n25,g40,g9
n10,g42,g16
n68,g23,g33
n34,g12,g85
n72,g42,g6
n73,g3,g54
n55,g7,g57
n44,g41,g12
n16,g29,g73
n80,g4,g88
n81,g41,g75
n75,g92,g24
n66,g92,g22
n47,g36,g55
n52,g47,g42
n59,g98,g26
n57,g73,g59
n71,g66,g82
n37,g86,g96
n31,g36,g58
n19,g2,g69
n46,g88,g41
n65,g30,g95
n85,g10,g43
n1,g9,g43
n84,g91,g40
n32,g90,g79
n26,g50,g18
n20,g62,g30
n53,g0,g56
n56,g95,g26
n76,g65,g39
n38,g6,g12
n13,g32,g80
n67,g87,g55
n41,g26,g12
n18,g27,g33
n11,g68,g44
n30,g55,g49
n35,g91,g92
n8,g94,g36
n83,g92,g17
n39,g78,g81
n33,g41,g66
n27,g89,g26
n50,g39,g0
n12,g29,g51
n82,g50,g83
n0,g69,g0
n43,g0,g66
n58,g75,g42
n36,g29,g45
n42,g52,g96
n61,g79,g46
n78,g87,g23
n3,g31,g7
n29,g79,g14
n49,g56,g39
n86,g18,g68
n62,g39,g92
n40,g42,g85
n51,g52,g37
n7,g49,g96
n15,g16,g76
n48,g75,g47
n64,g95,g59
n2,g43,g66
