n70,g54,g67
n65,g22,g60
n6,g21,g40
n35,g76,g7
n4,g46,g30
n32,g55,g70
n72,g56,g4
n74,g1,g39
n26,g55,g83
n21,g92,g52
n60,g72,g4
n20,g56,g20
n73,g51,g98
n51,g30,g36
n69,g90,g7
n71,g79,g23
n28,g92,g63
n14,g22,g43
n45,g55,g5
n39,g25,g74
n5,g58,g53
n23,g91,g57
n24,g51,g12
n54,g6,g14
n16,g31,g48
n17,g90,g14
n18,g90,g75
n63,g14,g32
n9,g86,g58
n25,g22,g37
n30,g76,g75
n31,g89,g22
n10,g0,g5
n43,g71,g86
n68,g32,g24
n34,g7,g97
n8,g18,g5
n53,g66,g11
n55,g9,g52
n38,g22,g63
n33,g66,g90
n62,g16,g57
n11,g69,g78
n27,g41,g39
n50,g88,g25
n44,g58,g24
n12,g18,g65
n67,g74,g44
n75,g82,g43
n0,g83,g73
n22,g35,g36
n58,g81,g66
n36,g14,g83
n42,g50,g95
n61,g59,g89
n3,g35,g48
n29,g67,g6
n47,g87,g89
n49,g7,g43
n52,g36,g59
n59,g85,g42
n57,g60,g7
n66,g66,g45
n37,g79,g37
n13,g90,g40
n40,g84,g66
n19,g33,g96
n46,g75,g49
n7,g73,g51
n15,g65,g79
n48,g19,g81
n41,g51,g16
n64,g34,g44
n56,g74,g39
n2,g77,g78
n1,g5,g96
