n70,g49,g54
n65,g10,g55
n6,g15,g74
n35,g21,g30
n4,g46,g1
n32,g48,g18
n72,g7,g5
n74,g61,g60
n26,g20,g26
n21,g67,g61
n60,g76,g14
n20,g4,g62
n73,g92,g46
n51,g67,g14
n69,g23,g19
n71,g21,g65
n28,g94,g51
n77,g5,g93
n14,g56,g32
n45,g5,g23
n39,g15,g84
n5,g61,g98
n23,g87,g70
n24,g54,g27
n54,g1,g48
n16,g90,g63
n17,g63,g49
n18,g79,g88
n63,g60,g55
n9,g1,g43
n25,g16,g53
n30,g50,g5
n31,g65,g8
n10,g91,g40
n43,g67,g7
n68,g78,g18
n34,g8,g78
n8,g66,g24
n79,g22,g57
n53,g78,g72
n55,g88,g6
n38,g51,g2
n33,g82,g50
n62,g11,g36
n11,g61,g34
n27,g57,g76
n50,g94,g70
n44,g78,g7
n12,g31,g70
n67,g12,g85
n75,g62,g79
n80,g74,g59
n0,g65,g46
n22,g12,g66
n81,g16,g97
n58,g73,g4
n36,g10,g96
n42,g0,g25
n61,g43,g23
n78,g44,g46
n3,g74,g87
n29,g7,g30
n47,g44,g19
n49,g24,g93
n52,g53,g22
n59,g8,g94
n57,g60,g10
n66,g86,g93
n37,g41,g79
n13,g74,g31
n40,g8,g68
n19,g92,g36
n46,g91,g62
n7,g88,g80
n15,g26,g87
n48,g19,g55
n41,g7,g13
n76,g5,g68
n64,g4,g98
n56,g47,g93
n2,g72,g96
n1,g73,g25
