n70,g77,g21
n65,g45,g8
n6,g91,g37
n35,g63,g40
n4,g73,g81
n32,g24,g0
n72,g60,g47
n74,g82,g19
n26,g78,g27
n21,g73,g66
n60,g13,g4
n20,g85,g90
n73,g62,g53
n51,g37,g50
n69,g18,g60
n71,g95,g15
n28,g69,g37
n77,g42,g98
n14,g34,g91
n45,g53,g71
n39,g91,g11
n5,g3,g90
n23,g86,g28
n24,g73,g6
n54,g0,g96
n16,g35,g33
n17,g86,g53
n18,g16,g5
n63,g31,g27
n9,g29,g93
n25,g67,g48
n30,g1,g20
n31,g70,g40
n10,g89,g10
n43,g58,g10
n68,g89,g82
n34,g18,g15
n8,g92,g44
n79,g75,g37
n53,g82,g6
n55,g40,g16
n38,g7,g99
n33,g94,g82
n62,g25,g52
n11,g33,g40
n27,g59,g33
n50,g83,g92
n44,g2,g96
n12,g44,g55
n67,g56,g25
n75,g41,g89
n80,g17,g8
n0,g87,g58
n22,g59,g14
n81,g97,g68
n58,g81,g2
n36,g31,g81
n42,g51,g60
n61,g58,g45
n78,g58,g37
n3,g51,g58
n29,g73,g18
n47,g1,g7
n49,g92,g23
n52,g75,g53
n59,g55,g25
n57,g23,g27
n66,g39,g24
n37,g16,g30
n13,g80,g74
n40,g98,g30
n19,g87,g89
n46,g99,g90
n7,g85,g8
n15,g11,g51
n48,g40,g29
n41,g22,g92
n76,g38,g74
n64,g29,g67
n56,g19,g96
n2,g14,g25
n1,g7,g13
