n70,g9,g99
n65,g14,g54
n6,g96,g33
n35,g12,g87
n4,g14,g98
n32,g72,g98
n72,g35,g60
n74,g25,g79
n26,g3,g25
n21,g25,g48
n60,g85,g11
n20,g60,g24
n73,g82,g91
n51,g89,g56
n69,g23,g62
n71,g60,g68
n28,g75,g70
n14,g32,g64
n45,g5,g12
n39,g14,g56
n5,g12,g85
n23,g88,g92
n24,g87,g9
n54,g82,g43
n16,g91,g56
n17,g25,g17
n18,g42,g24
n63,g87,g40
n9,g22,g79
n25,g28,g61
n30,g22,g29
n31,g45,g36
n10,g76,g30
n43,g94,g15
n68,g65,g15
n34,g6,g35
n8,g6,g2
n53,g79,g48
n55,g47,g65
n38,g77,g69
n33,g34,g2
n62,g26,g39
n11,g47,g52
n27,g92,g81
n50,g68,g8
n44,g66,g32
n12,g31,g16
n67,g32,g74
n75,g63,g70
n0,g21,g45
n22,g78,g15
n58,g24,g47
n36,g83,g51
n42,g61,g44
n61,g84,g92
n3,g41,g60
n29,g82,g64
n47,g22,g33
n49,g69,g84
n52,g12,g66
n59,g79,g32
n57,g35,g23
n66,g88,g52
n37,g2,g26
n13,g18,g50
n40,g60,g83
n19,g24,g70
n46,g87,g41
n7,g78,g2
n15,g10,g67
n48,g93,g17
n41,g32,g10
n64,g1,g29
n56,g12,g47
n2,g75,g2
n1,g48,g50
