n70,g29,g10
n6,g6,g3
n4,g88,g99
n22,g76,g93
n21,g46,g25
n60,g5,g48
n79,g64,g87
n74,g78,g94
n69,g24,g23
n28,g56,g15
n14,g27,g45
n45,g43,g0
n5,g60,g21
n23,g7,g40
n24,g64,g74
n17,g55,g9
n54,g97,g92
n77,g45,g66
n63,g70,g19
n9,g67,g80
n25,g26,g57
n10,g80,g59
n68,g35,g33
n34,g27,g84
n72,g0,g91
n73,g84,g74
n55,g0,g55
n44,g56,g59
n16,g24,g73
n80,g35,g12
n81,g56,g74
n75,g68,g88
n66,g28,g46
n47,g30,g8
n52,g35,g92
n59,g91,g78
n57,g91,g88
n71,g83,g17
n37,g66,g49
n31,g70,g28
n19,g99,g87
n46,g77,g36
n65,g12,g54
n85,g92,g21
n1,g30,g16
n84,g81,g25
n32,g85,g78
n26,g65,g66
n20,g91,g93
n53,g61,g91
n56,g54,g1
n76,g89,g66
n38,g53,g29
n13,g82,g8
n67,g55,g80
n41,g26,g46
n18,g78,g83
n11,g30,g7
n30,g92,g55
n35,g69,g58
n8,g26,g36
n83,g73,g36
n39,g9,g4
n33,g10,g67
n27,g57,g19
n50,g31,g41
n12,g18,g30
n82,g93,g79
n0,g88,g77
n43,g32,g58
n58,g59,g76
n36,g4,g7
n42,g31,g94
n61,g78,g9
n78,g22,g84
n3,g11,g7
n29,g8,g62
n49,g60,g8
n62,g15,g70
n40,g72,g49
n51,g27,g68
n7,g28,g21
n15,g8,g39
n48,g4,g97
n64,g14,g55
n2,g39,g30
