n0,g21,g7
n1,g6,g58
n2,g69,g16
n3,g22,g92
n4,g54,g43
n5,g23,g51
n6,g54,g14
n7,g5,g18
n8,g57,g96
n9,g62,g58
n10,g45,g35
n11,g30,g38
n12,g22,g83
n13,g71,g0
n14,g73,g15
n15,g92,g40
n16,g63,g40
n17,g97,g1
n18,g63,g55
n19,g51,g53
n20,g39,g0
n21,g47,g53
n22,g54,g37
n23,g9,g73
n24,g93,g44
n25,g60,g21
n26,g75,g67
n27,g9,g15
n28,g97,g12
n29,g32,g52
n30,g88,g69
n31,g87,g40
n32,g23,g96
n33,g82,g83
n34,g24,g61
n35,g84,g71
n36,g37,g77
n37,g41,g81
n38,g88,g60
n39,g50,g74
n40,g13,g30
n41,g18,g58
n42,g98,g76
n43,g92,g78
n44,g6,g80
n45,g31,g76
n46,g14,g60
n47,g78,g81
n48,g89,g53
n49,g6,g97
n50,g27,g21
n51,g88,g62
n52,g91,g81
n53,g64,g5
n54,g10,g69
n55,g8,g35
n56,g87,g21
n57,g2,g47
n58,g97,g28
n59,g44,g74
n60,g34,g14
n61,g52,g76
n62,g37,g80
n63,g52,g18
n64,g12,g81
n65,g89,g37
n66,g71,g95
n67,g1,g19
n68,g61,g33
n69,g14,g52
n70,g23,g80
n71,g2,g70
n72,g17,g84
n73,g64,g86
n74,g45,g5
n75,g73,g53
n76,g6,g23
n77,g9,g56
n78,g80,g41
n79,g5,g36
