n0,g25,g24
n1,g51,g45
n2,g55,g26
n3,g37,g11
n4,g92,g1
n5,g8,g6
n6,g56,g14
n7,g55,g15
n8,g70,g18
n9,g89,g6
n10,g88,g65
n11,g29,g58
n12,g11,g50
n13,g27,g11
n14,g29,g2
n15,g5,g58
n16,g88,g16
n17,g47,g48
n18,g78,g42
n19,g44,g76
n20,g30,g31
n21,g22,g63
n22,g40,g4
n23,g42,g0
n24,g91,g8
n25,g95,g15
n26,g86,g79
n27,g14,g87
n28,g55,g73
n29,g56,g99
n30,g23,g90
n31,g24,g32
n32,g10,g41
n33,g59,g29
n34,g35,g41
n35,g72,g92
n36,g49,g76
n37,g47,g49
n38,g2,g49
n39,g95,g85
n40,g7,g13
n41,g84,g43
n42,g93,g68
n43,g1,g56
n44,g62,g95
n45,g3,g82
n46,g72,g64
n47,g39,g79
n48,g8,g17
n49,g81,g27
n50,g11,g30
n51,g99,g78
n52,g26,g27
n53,g18,g58
n54,g75,g16
n55,g38,g94
n56,g63,g59
n57,g74,g16
n58,g76,g17
n59,g4,g8
n60,g81,g3
n61,g80,g55
n62,g53,g37
n63,g0,g71
n64,g71,g52
n65,g48,g5
n66,g28,g87
n67,g86,g32
n68,g61,g37
n69,g49,g38
n70,g93,g59
n71,g64,g95
n72,g86,g90
n73,g22,g85
n74,g0,g40
n75,g3,g65
n76,g63,g45
n77,g30,g73
n78,g6,g19
n79,g79,g14
