n70,g38,g13
n65,g27,g69
n6,g19,g55
n35,g57,g22
n4,g17,g59
n32,g65,g12
n72,g78,g34
n74,g83,g84
n26,g79,g64
n21,g95,g57
n60,g37,g4
n20,g23,g90
n73,g81,g41
n51,g68,g33
n69,g85,g31
n71,g99,g85
n28,g8,g83
n77,g48,g21
n14,g90,g51
n45,g2,g18
n39,g62,g12
n5,g35,g30
n23,g33,g94
n24,g99,g54
n54,g6,g97
n16,g88,g1
n17,g98,g68
n18,g25,g49
n63,g7,g24
n9,g67,g33
n25,g94,g42
n30,g75,g41
n31,g98,g67
n10,g50,g31
n43,g71,g3
n68,g28,g40
n34,g55,g69
n8,g66,g60
n79,g36,g45
n53,g6,g22
n55,g45,g35
n38,g36,g77
n33,g79,g86
n62,g98,g49
n11,g67,g44
n27,g78,g61
n50,g95,g33
n44,g27,g96
n12,g13,g39
n67,g70,g4
n75,g82,g94
n0,g44,g14
n22,g40,g37
n58,g14,g31
n36,g78,g47
n42,g67,g80
n61,g34,g29
n78,g45,g98
n3,g96,g80
n29,g31,g94
n47,g60,g35
n49,g44,g11
n52,g24,g88
n59,g94,g54
n57,g68,g74
n66,g27,g12
n37,g13,g87
n13,g70,g26
n40,g26,g3
n19,g41,g99
n46,g55,g61
n7,g43,g78
n15,g18,g58
n48,g26,g95
n41,g13,g30
n76,g51,g84
n64,g27,g43
n56,g47,g85
n2,g81,g57
n1,g74,g25
