n70,g53,g91
n65,g40,g44
n6,g28,g3
n35,g11,g27
n4,g68,g80
n32,g48,g71
n72,g2,g32
n74,g5,g90
n26,g0,g32
n21,g32,g94
n60,g98,g63
n20,g59,g34
n73,g37,g5
n51,g86,g47
n69,g9,g59
n71,g31,g71
n28,g58,g7
n14,g43,g17
n45,g6,g0
n39,g15,g65
n5,g8,g94
n23,g12,g54
n24,g32,g45
n54,g2,g7
n16,g55,g51
n17,g31,g43
n18,g97,g80
n63,g7,g65
n9,g25,g31
n25,g19,g36
n30,g77,g85
n31,g47,g81
n10,g1,g61
n43,g80,g5
n68,g35,g82
n34,g93,g79
n8,g18,g82
n53,g60,g84
n55,g4,g25
n38,g34,g73
n33,g15,g85
n62,g47,g18
n11,g26,g70
n27,g88,g7
n50,g34,g84
n44,g82,g69
n12,g91,g24
n67,g63,g16
n75,g52,g69
n0,g50,g63
n22,g20,g54
n58,g14,g76
n36,g97,g50
n42,g3,g54
n61,g81,g9
n3,g94,g61
n29,g0,g96
n47,g11,g95
n49,g56,g73
n52,g98,g3
n59,g94,g77
n57,g45,g64
n66,g89,g93
n37,g51,g6
n13,g24,g55
n40,g15,g5
n19,g8,g25
n46,g92,g20
n7,g66,g50
n15,g31,g70
n48,g19,g83
n41,g30,g21
n64,g30,g77
n56,g33,g52
n2,g85,g46
n1,g21,g9
