n70,g3,g23
n65,g93,g34
n6,g63,g26
n35,g40,g53
n4,g62,g60
n32,g93,g67
n72,g30,g41
n74,g44,g24
n26,g58,g14
n21,g41,g58
n60,g20,g44
n20,g69,g15
n73,g23,g91
n51,g34,g4
n69,g33,g94
n71,g1,g79
n28,g27,g67
n14,g12,g75
n45,g21,g94
n39,g58,g83
n5,g22,g54
n23,g16,g81
n24,g65,g29
n54,g31,g57
n16,g93,g58
n17,g20,g80
n18,g84,g52
n63,g18,g37
n9,g36,g15
n25,g96,g35
n30,g28,g85
n31,g63,g13
n10,g71,g90
n43,g78,g84
n68,g65,g93
n34,g52,g63
n8,g28,g31
n53,g14,g16
n55,g98,g50
n38,g83,g85
n33,g58,g15
n62,g35,g12
n11,g24,g81
n27,g86,g1
n50,g16,g21
n44,g77,g39
n12,g0,g86
n67,g27,g64
n0,g74,g50
n22,g48,g68
n58,g43,g96
n36,g22,g50
n42,g63,g20
n61,g50,g77
n3,g85,g98
n29,g47,g43
n47,g62,g83
n49,g92,g3
n52,g74,g90
n59,g75,g61
n57,g11,g0
n66,g22,g87
n37,g89,g39
n13,g6,g30
n40,g46,g40
n19,g14,g60
n46,g39,g91
n7,g71,g50
n15,g69,g82
n48,g27,g97
n41,g34,g8
n64,g2,g8
n56,g45,g90
n2,g43,g78
n1,g67,g20
