n70,g99,g13
n65,g88,g98
n6,g63,g45
n35,g8,g69
n4,g28,g48
n32,g80,g59
n72,g30,g98
n74,g39,g41
n26,g17,g0
n21,g79,g77
n60,g95,g19
n20,g56,g57
n73,g77,g5
n51,g20,g92
n69,g8,g85
n71,g83,g12
n28,g19,g58
n14,g34,g49
n45,g91,g96
n39,g71,g56
n5,g74,g34
n23,g76,g2
n24,g20,g32
n54,g83,g64
n16,g3,g81
n17,g32,g1
n18,g42,g25
n63,g45,g47
n9,g58,g0
n25,g35,g81
n30,g48,g91
n31,g61,g16
n10,g45,g68
n43,g74,g39
n68,g18,g82
n34,g72,g71
n8,g19,g79
n53,g54,g77
n55,g65,g91
n38,g8,g51
n33,g85,g82
n62,g48,g40
n11,g49,g26
n27,g16,g24
n50,g61,g44
n44,g64,g80
n12,g71,g1
n67,g54,g39
n75,g23,g14
n0,g95,g64
n22,g5,g40
n58,g79,g12
n36,g25,g47
n42,g60,g5
n61,g97,g48
n3,g23,g88
n29,g76,g36
n47,g27,g56
n49,g95,g51
n52,g73,g39
n59,g7,g58
n57,g77,g51
n66,g90,g78
n37,g37,g36
n13,g11,g6
n40,g2,g23
n19,g76,g14
n46,g32,g97
n7,g24,g61
n15,g22,g87
n48,g13,g24
n41,g9,g71
n64,g22,g75
n56,g68,g79
n2,g90,g84
n1,g74,g41
