n70,g96,g73
n65,g20,g91
n6,g24,g53
n35,g22,g31
n4,g40,g38
n32,g5,g16
n72,g37,g95
n74,g53,g20
n26,g86,g3
n21,g80,g12
n60,g82,g64
n20,g34,g78
n73,g25,g15
n51,g54,g22
n69,g49,g64
n71,g79,g11
n28,g66,g61
n14,g53,g75
n45,g83,g98
n39,g78,g32
n5,g79,g82
n23,g78,g72
n24,g32,g56
n54,g90,g56
n16,g11,g59
n17,g50,g46
n18,g19,g78
n63,g49,g36
n9,g91,g15
n25,g78,g51
n30,g81,g79
n31,g31,g42
n10,g80,g56
n43,g1,g31
n68,g19,g24
n34,g10,g6
n8,g48,g75
n53,g59,g43
n55,g91,g14
n38,g23,g32
n33,g86,g98
n62,g50,g64
n11,g39,g38
n27,g22,g77
n50,g43,g0
n44,g32,g96
n12,g82,g69
n67,g67,g18
n75,g95,g85
n0,g25,g41
n22,g95,g35
n58,g38,g95
n36,g37,g54
n42,g3,g75
n61,g75,g45
n3,g59,g60
n29,g81,g57
n47,g8,g38
n49,g37,g34
n52,g83,g60
n59,g79,g33
n57,g71,g49
n66,g10,g12
n37,g58,g35
n13,g91,g87
n40,g59,g41
n19,g17,g15
n46,g15,g24
n7,g16,g22
n15,g83,g76
n48,g40,g96
n41,g43,g2
n64,g13,g11
n56,g8,g23
n2,g86,g22
n1,g30,g47
