n70,g94,g64
n65,g5,g65
n6,g53,g43
n35,g45,g28
n4,g89,g23
n32,g23,g51
n72,g41,g50
n26,g47,g49
n21,g95,g19
n60,g34,g4
n20,g37,g60
n51,g11,g18
n69,g88,g59
n71,g76,g22
n28,g64,g34
n14,g13,g88
n45,g92,g66
n39,g46,g50
n5,g14,g63
n23,g46,g24
n24,g91,g51
n54,g92,g37
n16,g41,g78
n17,g54,g50
n18,g56,g86
n63,g47,g76
n9,g18,g99
n25,g52,g76
n30,g26,g36
n31,g13,g87
n10,g24,g85
n43,g10,g36
n68,g54,g95
n34,g17,g74
n8,g93,g16
n53,g53,g60
n55,g1,g86
n38,g53,g76
n33,g22,g38
n62,g1,g53
n11,g4,g79
n27,g87,g37
n50,g95,g50
n44,g54,g45
n12,g35,g47
n67,g39,g62
n0,g2,g29
n22,g3,g33
n58,g2,g63
n36,g16,g71
n42,g35,g44
n61,g80,g65
n3,g57,g56
n29,g30,g7
n47,g74,g36
n49,g72,g74
n52,g73,g78
n59,g75,g69
n57,g20,g3
n66,g23,g32
n37,g49,g44
n13,g10,g53
n40,g27,g38
n19,g77,g17
n46,g9,g41
n7,g8,g65
n15,g0,g26
n48,g81,g66
n41,g90,g80
n64,g84,g94
n56,g21,g54
n2,g31,g75
n1,g87,g74
