n70,g22,g26
n65,g13,g77
n6,g83,g56
n35,g88,g68
n4,g91,g42
n32,g54,g31
n72,g47,g82
n26,g54,g56
n21,g39,g28
n60,g69,g7
n20,g43,g77
n73,g74,g30
n51,g49,g96
n69,g65,g58
n71,g86,g41
n28,g72,g60
n14,g9,g45
n45,g14,g94
n39,g91,g80
n5,g56,g23
n23,g44,g37
n24,g70,g36
n54,g35,g16
n16,g84,g70
n17,g3,g8
n18,g11,g93
n63,g86,g82
n9,g76,g55
n25,g99,g73
n30,g26,g88
n31,g84,g60
n10,g89,g56
n43,g31,g55
n68,g3,g62
n34,g86,g55
n8,g16,g58
n53,g40,g24
n55,g42,g14
n38,g18,g93
n33,g64,g44
n62,g34,g61
n11,g30,g43
n27,g56,g43
n50,g0,g89
n44,g0,g80
n12,g51,g3
n67,g49,g0
n0,g44,g61
n22,g77,g41
n58,g83,g93
n36,g73,g88
n42,g90,g1
n61,g83,g22
n3,g61,g12
n29,g81,g76
n47,g25,g36
n49,g74,g54
n52,g64,g22
n59,g40,g90
n57,g7,g20
n66,g52,g33
n37,g86,g67
n13,g37,g21
n40,g47,g23
n19,g23,g4
n46,g81,g33
n7,g65,g78
n15,g16,g92
n48,g50,g21
n41,g65,g17
n64,g90,g3
n56,g3,g81
n2,g46,g45
n1,g86,g7
