n70,g27,g89
n65,g56,g75
n6,g87,g86
n35,g42,g82
n4,g30,g18
n32,g16,g86
n72,g55,g66
n26,g75,g40
n21,g99,g49
n60,g67,g84
n20,g69,g5
n73,g42,g54
n51,g30,g22
n69,g82,g93
n71,g45,g86
n28,g52,g3
n14,g6,g11
n45,g35,g15
n39,g85,g88
n5,g93,g55
n23,g89,g25
n24,g36,g5
n54,g24,g23
n16,g76,g71
n17,g41,g91
n18,g54,g80
n63,g21,g4
n9,g81,g23
n25,g39,g98
n30,g42,g37
n31,g36,g49
n10,g44,g30
n43,g63,g20
n68,g24,g71
n34,g58,g18
n8,g30,g76
n53,g47,g28
n55,g28,g70
n38,g24,g67
n33,g63,g21
n62,g92,g50
n11,g68,g44
n27,g63,g26
n50,g19,g8
n44,g77,g31
n12,g0,g95
n67,g0,g69
n0,g50,g0
n22,g84,g25
n58,g52,g48
n36,g76,g31
n42,g29,g3
n61,g74,g85
n3,g40,g28
n29,g56,g3
n47,g98,g5
n49,g28,g17
n52,g44,g32
n59,g23,g26
n57,g39,g19
n66,g87,g62
n37,g23,g35
n13,g65,g93
n40,g26,g35
n19,g92,g0
n46,g56,g88
n7,g64,g26
n15,g38,g19
n48,g43,g37
n41,g56,g24
n64,g95,g1
n56,g92,g53
n2,g75,g85
n1,g57,g55
