n70,g63,g98
n65,g92,g78
n6,g10,g26
n35,g50,g58
n4,g56,g15
n32,g57,g22
n72,g39,g89
n26,g86,g91
n21,g66,g97
n60,g77,g71
n20,g56,g63
n73,g12,g9
n51,g75,g82
n69,g56,g29
n71,g34,g70
n28,g81,g23
n14,g65,g67
n45,g3,g51
n39,g42,g29
n5,g50,g65
n23,g56,g60
n24,g67,g43
n54,g73,g24
n16,g91,g5
n17,g48,g45
n18,g38,g93
n63,g2,g95
n9,g36,g29
n25,g51,g37
n30,g78,g60
n31,g66,g71
n10,g94,g63
n43,g45,g18
n68,g77,g30
n34,g24,g61
n8,g32,g7
n53,g0,g7
n55,g53,g99
n38,g85,g23
n33,g28,g18
n62,g87,g95
n11,g21,g55
n27,g62,g29
n50,g92,g81
n44,g78,g2
n12,g19,g62
n67,g61,g46
n0,g86,g21
n22,g55,g71
n58,g74,g72
n36,g25,g1
n42,g62,g11
n61,g7,g99
n3,g20,g2
n29,g91,g71
n47,g61,g59
n49,g54,g1
n52,g7,g18
n59,g8,g59
n57,g48,g75
n66,g97,g93
n37,g48,g8
n13,g94,g2
n40,g53,g19
n19,g7,g74
n46,g1,g14
n7,g69,g36
n15,g84,g30
n48,g41,g89
n41,g79,g66
n64,g25,g54
n56,g51,g66
n2,g47,g12
n1,g37,g52
