n70,g47,g63
n65,g35,g30
n6,g61,g93
n35,g64,g28
n4,g51,g84
n32,g49,g69
n72,g77,g57
n74,g38,g42
n26,g7,g39
n21,g0,g42
n60,g77,g78
n20,g55,g87
n73,g41,g67
n51,g9,g26
n69,g17,g9
n71,g5,g83
n28,g41,g9
n14,g48,g6
n45,g29,g49
n39,g98,g27
n5,g18,g30
n23,g22,g50
n24,g52,g42
n54,g68,g35
n16,g37,g28
n17,g17,g30
n18,g44,g6
n63,g49,g67
n9,g43,g53
n25,g37,g30
n30,g53,g74
n31,g27,g73
n10,g83,g7
n43,g89,g21
n68,g51,g54
n34,g67,g60
n8,g82,g53
n53,g68,g52
n55,g2,g4
n38,g27,g90
n33,g16,g25
n62,g92,g18
n11,g59,g3
n27,g8,g98
n50,g56,g22
n44,g39,g78
n12,g58,g38
n67,g73,g39
n0,g40,g79
n22,g37,g9
n58,g95,g93
n36,g71,g30
n42,g44,g70
n61,g98,g21
n3,g21,g40
n29,g95,g17
n47,g46,g14
n49,g39,g45
n52,g66,g36
n59,g2,g31
n57,g39,g81
n66,g9,g58
n37,g27,g21
n13,g61,g55
n40,g23,g71
n19,g59,g75
n46,g1,g92
n7,g89,g64
n15,g4,g45
n48,g63,g80
n41,g37,g40
n64,g62,g70
n56,g48,g94
n2,g64,g6
n1,g80,g11
