n70,g65,g34
n65,g69,g14
n6,g6,g53
n35,g56,g7
n4,g66,g68
n32,g0,g16
n72,g18,g41
n74,g33,g89
n26,g31,g99
n21,g26,g45
n60,g70,g80
n20,g12,g27
n73,g77,g29
n51,g28,g24
n69,g75,g44
n71,g21,g69
n28,g11,g6
n14,g38,g93
n45,g54,g58
n39,g33,g43
n5,g37,g93
n23,g52,g36
n24,g70,g99
n54,g18,g14
n16,g75,g57
n17,g14,g12
n18,g82,g90
n63,g45,g91
n9,g53,g78
n25,g53,g93
n30,g95,g30
n31,g17,g38
n10,g70,g14
n43,g11,g2
n68,g41,g7
n34,g7,g51
n8,g56,g27
n53,g37,g41
n55,g68,g12
n38,g71,g8
n33,g80,g91
n62,g23,g90
n11,g8,g4
n27,g6,g72
n50,g87,g96
n44,g7,g71
n12,g73,g27
n67,g43,g40
n0,g32,g23
n22,g74,g93
n58,g32,g49
n36,g28,g23
n42,g51,g21
n61,g39,g90
n3,g30,g77
n29,g15,g71
n47,g36,g67
n49,g35,g0
n52,g66,g45
n59,g39,g53
n57,g2,g21
n66,g40,g30
n37,g95,g23
n13,g2,g3
n40,g66,g5
n19,g77,g42
n46,g2,g72
n7,g38,g15
n15,g47,g45
n48,g21,g39
n41,g50,g71
n64,g8,g65
n56,g73,g37
n2,g17,g76
n1,g24,g14
