n70,g88,g7
n65,g32,g48
n6,g34,g97
n35,g92,g52
n4,g46,g87
n32,g37,g15
n72,g96,g61
n26,g64,g60
n21,g99,g27
n60,g92,g72
n20,g47,g40
n51,g36,g65
n69,g62,g32
n71,g66,g46
n28,g74,g31
n14,g85,g6
n45,g74,g57
n39,g12,g39
n5,g21,g15
n23,g2,g35
n24,g81,g10
n54,g80,g45
n16,g48,g66
n17,g0,g12
n18,g28,g23
n63,g82,g94
n9,g42,g83
n25,g34,g61
n30,g42,g89
n31,g61,g56
n10,g0,g44
n43,g81,g43
n68,g96,g37
n34,g79,g87
n8,g36,g73
n53,g71,g6
n55,g60,g61
n38,g36,g34
n33,g83,g30
n62,g20,g32
n11,g4,g25
n27,g38,g93
n50,g48,g82
n44,g90,g37
n12,g24,g1
n67,g3,g83
n0,g66,g89
n22,g14,g57
n58,g28,g43
n36,g65,g33
n42,g96,g80
n61,g63,g3
n3,g14,g81
n29,g53,g32
n47,g69,g82
n49,g43,g5
n52,g40,g15
n59,g97,g12
n57,g29,g80
n66,g21,g10
n37,g54,g86
n13,g39,g42
n40,g57,g82
n19,g94,g4
n46,g3,g93
n7,g89,g15
n15,g77,g44
n48,g45,g20
n41,g9,g26
n64,g52,g22
n56,g8,g27
n2,g86,g1
n1,g73,g2
