n70,g82,g89
n65,g84,g0
n6,g60,g46
n35,g69,g35
n4,g19,g25
n32,g8,g1
n72,g63,g46
n26,g58,g91
n21,g76,g88
n60,g74,g37
n20,g93,g28
n51,g61,g92
n69,g45,g81
n71,g26,g51
n28,g97,g10
n14,g85,g78
n45,g95,g50
n39,g20,g22
n5,g4,g68
n23,g63,g60
n24,g90,g29
n54,g80,g91
n16,g8,g17
n17,g68,g35
n18,g59,g10
n63,g31,g2
n9,g10,g41
n25,g73,g28
n30,g98,g6
n31,g66,g71
n10,g31,g68
n43,g26,g68
n68,g96,g25
n34,g95,g44
n8,g25,g14
n53,g4,g78
n55,g12,g99
n38,g55,g14
n33,g30,g48
n62,g20,g3
n11,g68,g16
n27,g61,g10
n50,g87,g70
n44,g3,g12
n12,g24,g45
n67,g4,g33
n0,g60,g49
n22,g75,g72
n58,g27,g47
n36,g19,g59
n42,g49,g41
n61,g59,g63
n3,g7,g39
n29,g79,g20
n47,g15,g86
n49,g98,g87
n52,g75,g58
n59,g70,g22
n57,g98,g5
n66,g51,g52
n37,g74,g0
n13,g79,g80
n40,g99,g75
n19,g11,g4
n46,g50,g46
n7,g17,g88
n15,g39,g0
n48,g6,g83
n41,g60,g54
n64,g53,g85
n56,g14,g80
n2,g9,g37
n1,g16,g32
