n70,g23,g72
n65,g8,g68
n6,g57,g0
n35,g72,g69
n4,g32,g19
n32,g44,g10
n26,g88,g59
n21,g73,g85
n60,g17,g67
n20,g59,g57
n51,g65,g90
n69,g30,g45
n28,g9,g8
n14,g13,g0
n45,g52,g11
n39,g21,g91
n5,g37,g74
n23,g87,g16
n24,g71,g80
n54,g50,g20
n16,g9,g58
n17,g82,g18
n18,g13,g7
n63,g78,g14
n9,g59,g79
n25,g40,g3
n30,g90,g68
n31,g92,g41
n10,g9,g97
n43,g41,g91
n68,g27,g24
n34,g74,g6
n8,g53,g26
n53,g77,g80
n55,g52,g69
n38,g20,g9
n33,g30,g81
n62,g97,g60
n11,g64,g48
n27,g41,g43
n50,g98,g31
n44,g67,g20
n12,g2,g70
n67,g91,g64
n0,g55,g4
n22,g44,g54
n58,g62,g61
n36,g13,g45
n42,g69,g33
n61,g65,g41
n3,g68,g58
n29,g12,g14
n47,g70,g60
n49,g7,g84
n52,g73,g83
n59,g31,g13
n57,g58,g52
n66,g74,g42
n37,g2,g18
n13,g5,g27
n40,g33,g1
n19,g43,g53
n46,g97,g96
n7,g86,g89
n15,g12,g44
n48,g65,g39
n41,g7,g65
n64,g36,g59
n56,g26,g52
n2,g46,g41
n1,g14,g53
