n70,g44,g18
n65,g70,g66
n6,g8,g85
n35,g54,g1
n4,g50,g32
n32,g25,g2
n26,g13,g44
n21,g43,g29
n60,g76,g3
n20,g13,g84
n51,g74,g8
n69,g94,g30
n28,g85,g55
n14,g13,g92
n45,g42,g46
n39,g59,g96
n5,g82,g9
n23,g60,g69
n24,g17,g12
n54,g61,g34
n16,g39,g63
n17,g3,g54
n18,g97,g6
n63,g62,g9
n9,g60,g53
n25,g1,g36
n30,g72,g64
n31,g13,g49
n10,g17,g63
n43,g22,g19
n68,g97,g51
n34,g50,g61
n8,g45,g31
n53,g94,g50
n55,g50,g88
n38,g3,g72
n33,g45,g58
n62,g58,g71
n11,g42,g27
n27,g89,g79
n50,g22,g33
n44,g92,g77
n12,g0,g65
n67,g66,g24
n0,g82,g55
n22,g6,g70
n58,g32,g27
n36,g8,g49
n42,g11,g90
n61,g99,g85
n3,g64,g7
n29,g35,g99
n47,g94,g89
n49,g6,g38
n52,g79,g53
n59,g71,g62
n57,g20,g48
n66,g25,g70
n37,g83,g0
n13,g63,g27
n40,g62,g39
n19,g56,g1
n46,g14,g21
n7,g46,g32
n15,g94,g12
n48,g61,g24
n41,g78,g94
n64,g21,g30
n56,g9,g53
n2,g78,g0
n1,g83,g92
