n70,g26,g83
n65,g87,g64
n6,g97,g86
n35,g93,g10
n4,g71,g26
n32,g63,g47
n26,g45,g35
n21,g89,g1
n60,g37,g70
n20,g2,g10
n51,g39,g5
n69,g55,g60
n28,g2,g18
n14,g73,g22
n45,g93,g85
n39,g51,g67
n5,g21,g68
n23,g60,g46
n24,g12,g47
n54,g87,g71
n16,g31,g79
n17,g6,g96
n18,g64,g68
n63,g37,g19
n9,g83,g35
n25,g78,g49
n30,g96,g8
n31,g80,g44
n10,g13,g71
n43,g59,g99
n68,g4,g94
n34,g35,g63
n8,g33,g23
n53,g9,g79
n55,g14,g62
n38,g36,g90
n33,g95,g25
n62,g84,g35
n11,g80,g32
n27,g1,g25
n50,g35,g8
n44,g22,g30
n12,g78,g48
n67,g75,g54
n0,g63,g40
n22,g92,g4
n58,g93,g7
n36,g36,g32
n42,g9,g47
n61,g4,g28
n3,g19,g49
n29,g29,g60
n47,g30,g41
n49,g57,g74
n52,g2,g38
n59,g50,g26
n57,g27,g97
n66,g88,g58
n37,g54,g68
n13,g38,g18
n40,g80,g42
n19,g42,g96
n46,g60,g59
n7,g85,g1
n15,g52,g80
n48,g27,g3
n41,g99,g90
n64,g87,g14
n56,g37,g82
n2,g31,g9
n1,g11,g10
