n70,g64,g16
n65,g24,g59
n6,g13,g97
n35,g95,g89
n4,g53,g84
n32,g81,g61
n72,g75,g88
n74,g89,g54
n26,g51,g60
n21,g14,g24
n60,g23,g1
n20,g80,g53
n73,g45,g18
n51,g43,g18
n69,g76,g43
n71,g86,g19
n28,g67,g65
n77,g40,g77
n14,g44,g14
n45,g71,g95
n39,g94,g67
n5,g45,g47
n23,g24,g82
n24,g29,g34
n54,g78,g8
n16,g52,g77
n17,g31,g3
n18,g41,g80
n63,g1,g89
n9,g82,g54
n25,g44,g6
n30,g6,g5
n31,g14,g58
n10,g16,g67
n43,g70,g33
n68,g66,g38
n34,g22,g38
n8,g63,g82
n79,g56,g2
n53,g74,g48
n55,g85,g19
n38,g5,g91
n33,g10,g83
n62,g16,g59
n11,g1,g49
n27,g86,g79
n50,g87,g19
n44,g76,g89
n12,g12,g31
n67,g20,g93
n75,g34,g45
n0,g50,g13
n22,g0,g74
n58,g48,g90
n36,g53,g10
n42,g22,g49
n61,g75,g78
n78,g76,g26
n3,g35,g87
n29,g61,g18
n47,g25,g92
n49,g72,g19
n52,g39,g1
n59,g62,g28
n57,g86,g13
n66,g74,g69
n37,g66,g22
n13,g38,g32
n40,g79,g44
n19,g30,g43
n46,g28,g10
n7,g30,g45
n15,g10,g76
n48,g63,g12
n41,g24,g20
n76,g53,g5
n64,g29,g52
n56,g98,g52
n2,g33,g91
n1,g49,g73
