n70,g49,g14
n6,g66,g16
n4,g86,g25
n22,g56,g87
n21,g7,g4
n60,g15,g76
n79,g90,g36
n74,g45,g3
n69,g52,g73
n28,g1,g88
n14,g97,g15
n45,g21,g98
n5,g20,g99
n23,g30,g49
n24,g40,g32
n17,g8,g89
n54,g4,g15
n77,g95,g6
n63,g39,g35
n9,g17,g70
n25,g30,g7
n10,g59,g80
n68,g12,g17
n34,g52,g95
n72,g35,g43
n73,g55,g38
n55,g67,g4
n44,g55,g95
n16,g90,g83
n80,g37,g77
n81,g43,g19
n75,g99,g39
n66,g53,g22
n47,g85,g13
n52,g26,g7
n59,g83,g49
n57,g54,g63
n71,g45,g4
n37,g19,g52
n31,g75,g40
n19,g89,g63
n46,g72,g88
n65,g24,g69
n85,g89,g60
n1,g43,g20
n84,g69,g94
n32,g76,g57
n26,g80,g65
n20,g51,g88
n53,g50,g79
n56,g66,g88
n76,g75,g54
n38,g2,g38
n13,g64,g20
n67,g21,g35
n41,g72,g59
n18,g66,g10
n11,g71,g62
n30,g66,g94
n35,g68,g75
n8,g58,g77
n83,g51,g47
n39,g28,g88
n33,g75,g46
n27,g57,g37
n50,g72,g10
n12,g98,g0
n82,g81,g22
n0,g51,g1
n43,g79,g62
n58,g2,g50
n36,g52,g57
n42,g53,g96
n61,g11,g61
n78,g71,g24
n3,g13,g47
n29,g14,g76
n49,g89,g24
n62,g7,g49
n40,g20,g5
n51,g43,g91
n7,g7,g53
n15,g11,g46
n48,g57,g29
n64,g8,g58
n2,g98,g99
