n0,g80,g12
n1,g0,g14
n2,g92,g83
n3,g79,g67
n4,g22,g62
n5,g5,g78
n6,g34,g2
n7,g7,g76
n8,g40,g35
n9,g50,g93
n10,g23,g41
n11,g97,g52
n12,g1,g8
n13,g86,g52
n14,g39,g82
n15,g94,g27
n16,g90,g16
n17,g76,g8
n18,g71,g88
n19,g87,g45
n20,g11,g9
n21,g47,g19
n22,g94,g77
n23,g20,g27
n24,g40,g74
n25,g52,g38
n26,g48,g43
n27,g91,g20
n28,g20,g38
n29,g8,g85
n30,g74,g52
n31,g24,g72
n32,g30,g63
n33,g49,g14
n34,g48,g64
n35,g67,g70
n36,g44,g88
n37,g30,g1
n38,g60,g38
n39,g1,g91
n40,g81,g62
n41,g6,g41
n42,g7,g1
n43,g34,g46
n44,g44,g34
n45,g67,g88
n46,g46,g42
n47,g26,g31
n48,g91,g28
n49,g75,g5
n50,g44,g65
n51,g59,g70
n52,g90,g95
n53,g56,g74
n54,g15,g25
n55,g42,g87
n56,g51,g38
n57,g36,g38
n58,g20,g88
n59,g67,g58
n60,g79,g57
n61,g47,g39
n62,g73,g27
n63,g16,g40
n64,g29,g35
n65,g2,g91
n66,g77,g48
n67,g60,g81
n68,g59,g25
n69,g82,g9
n70,g76,g21
n71,g42,g14
n72,g48,g42
n73,g28,g9
n74,g51,g45
n75,g44,g93
n76,g12,g1
n77,g73,g78
n78,g42,g21
n79,g55,g20
