n70,g65,g19
n65,g67,g26
n6,g50,g57
n35,g23,g73
n4,g18,g98
n32,g59,g3
n72,g86,g11
n74,g71,g18
n26,g68,g99
n21,g69,g24
n60,g94,g57
n20,g96,g84
n73,g91,g44
n51,g2,g59
n69,g62,g22
n71,g92,g83
n28,g50,g26
n14,g70,g65
n45,g24,g61
n39,g72,g33
n5,g40,g82
n23,g64,g94
n24,g72,g90
n54,g7,g32
n16,g4,g21
n17,g40,g53
n18,g12,g15
n63,g73,g66
n9,g61,g38
n25,g66,g16
n30,g69,g84
n31,g12,g2
n10,g74,g50
n43,g1,g70
n68,g36,g87
n34,g95,g32
n8,g54,g2
n53,g42,g17
n55,g75,g86
n38,g3,g0
n33,g53,g63
n62,g4,g47
n11,g30,g36
n27,g74,g29
n50,g40,g58
n44,g47,g71
n12,g39,g37
n67,g24,g82
n75,g62,g69
n0,g45,g54
n22,g38,g20
n58,g73,g87
n36,g37,g14
n42,g72,g65
n61,g60,g32
n3,g94,g95
n29,g53,g88
n47,g70,g66
n49,g57,g53
n52,g14,g15
n59,g21,g65
n57,g80,g24
n66,g20,g63
n37,g54,g48
n13,g84,g67
n40,g34,g16
n19,g87,g16
n46,g2,g45
n7,g99,g31
n15,g18,g48
n48,g95,g56
n41,g44,g54
n76,g30,g23
n64,g16,g68
n56,g20,g93
n2,g50,g95
n1,g42,g64
