n70,g67,g6
n65,g46,g45
n6,g31,g30
n35,g98,g82
n4,g37,g13
n32,g93,g13
n72,g86,g96
n74,g44,g93
n26,g91,g60
n21,g0,g43
n60,g72,g77
n20,g19,g39
n73,g5,g71
n51,g21,g30
n69,g61,g49
n71,g80,g58
n28,g73,g1
n14,g9,g84
n45,g13,g62
n39,g82,g70
n5,g37,g16
n23,g9,g52
n24,g32,g78
n54,g59,g73
n16,g85,g67
n17,g17,g95
n18,g84,g31
n63,g10,g2
n9,g2,g34
n25,g17,g86
n30,g8,g50
n31,g18,g14
n10,g95,g73
n43,g15,g38
n68,g51,g81
n34,g5,g99
n8,g24,g71
n53,g75,g8
n55,g71,g60
n38,g60,g59
n33,g89,g99
n62,g97,g8
n11,g89,g20
n27,g75,g63
n50,g53,g81
n44,g82,g13
n12,g27,g47
n67,g57,g19
n75,g1,g58
n0,g29,g72
n22,g31,g43
n58,g8,g79
n36,g80,g34
n42,g96,g45
n61,g22,g29
n3,g87,g67
n29,g86,g22
n47,g73,g37
n49,g63,g30
n52,g46,g80
n59,g91,g20
n57,g88,g57
n66,g16,g41
n37,g79,g81
n13,g35,g95
n40,g56,g48
n19,g14,g81
n46,g1,g95
n7,g17,g54
n15,g47,g55
n48,g98,g84
n41,g0,g55
n76,g20,g86
n64,g53,g20
n56,g32,g82
n2,g59,g54
n1,g56,g74
