n70,g88,g9
n65,g99,g0
n6,g46,g63
n35,g57,g82
n4,g24,g73
n32,g65,g97
n72,g74,g98
n74,g12,g60
n26,g96,g90
n21,g15,g22
n60,g1,g0
n20,g48,g36
n73,g8,g98
n51,g92,g82
n69,g68,g72
n71,g9,g95
n28,g35,g63
n14,g54,g95
n45,g95,g71
n39,g77,g30
n5,g45,g22
n23,g12,g64
n24,g68,g11
n54,g73,g19
n16,g75,g57
n17,g25,g6
n18,g81,g18
n63,g80,g31
n9,g99,g67
n25,g83,g87
n30,g68,g17
n31,g29,g93
n10,g60,g2
n43,g94,g8
n68,g69,g62
n34,g82,g10
n8,g97,g90
n53,g80,g85
n55,g70,g56
n38,g25,g27
n33,g65,g47
n62,g42,g84
n11,g25,g30
n27,g54,g57
n50,g70,g11
n44,g25,g97
n12,g2,g0
n67,g50,g55
n75,g5,g39
n0,g16,g48
n22,g56,g77
n58,g8,g53
n36,g7,g28
n42,g30,g95
n61,g29,g28
n3,g95,g56
n29,g11,g81
n47,g38,g31
n49,g56,g43
n52,g0,g29
n59,g57,g98
n57,g76,g63
n66,g93,g4
n37,g71,g86
n13,g82,g29
n40,g94,g87
n19,g24,g65
n46,g33,g26
n7,g62,g94
n15,g60,g52
n48,g7,g50
n41,g65,g1
n76,g36,g46
n64,g57,g3
n56,g71,g15
n2,g96,g25
n1,g34,g11
