n70,g59,g49
n65,g69,g56
n6,g20,g75
n35,g36,g86
n4,g91,g75
n32,g99,g10
n72,g56,g37
n74,g91,g55
n26,g11,g99
n21,g92,g24
n60,g63,g71
n20,g33,g73
n73,g83,g12
n51,g96,g99
n69,g8,g42
n71,g41,g30
n28,g20,g18
n14,g8,g44
n45,g74,g78
n39,g99,g93
n5,g8,g19
n23,g52,g20
n24,g36,g37
n54,g1,g66
n16,g82,g69
n17,g67,g61
n18,g27,g12
n63,g62,g35
n9,g44,g73
n25,g27,g88
n30,g40,g80
n31,g36,g73
n10,g31,g90
n43,g21,g12
n68,g92,g54
n34,g47,g72
n8,g11,g63
n53,g83,g60
n55,g27,g9
n38,g61,g92
n33,g44,g2
n62,g16,g10
n11,g50,g6
n27,g79,g0
n50,g51,g91
n44,g33,g50
n12,g75,g21
n67,g32,g84
n75,g79,g50
n0,g84,g48
n22,g22,g63
n58,g45,g95
n36,g38,g39
n42,g68,g66
n61,g13,g58
n3,g93,g12
n29,g3,g24
n47,g7,g5
n49,g41,g27
n52,g96,g95
n59,g1,g18
n57,g98,g70
n66,g68,g3
n37,g26,g29
n13,g49,g83
n40,g1,g92
n19,g23,g66
n46,g70,g2
n7,g23,g20
n15,g12,g94
n48,g44,g97
n41,g2,g46
n64,g97,g25
n56,g91,g61
n2,g8,g96
n1,g17,g9
