n70,g60,g29
n65,g73,g84
n6,g98,g46
n35,g87,g53
n4,g12,g37
n32,g77,g32
n72,g50,g12
n74,g57,g68
n26,g37,g41
n21,g42,g1
n60,g53,g47
n20,g48,g77
n73,g14,g27
n51,g67,g6
n69,g68,g11
n71,g12,g98
n28,g56,g22
n14,g55,g6
n45,g84,g40
n39,g3,g38
n5,g99,g40
n23,g92,g10
n24,g95,g30
n54,g10,g28
n16,g70,g25
n17,g75,g6
n18,g16,g24
n63,g43,g18
n9,g41,g69
n25,g6,g95
n30,g38,g24
n31,g8,g99
n10,g48,g59
n43,g46,g1
n68,g62,g8
n34,g85,g34
n8,g41,g82
n53,g39,g59
n55,g27,g68
n38,g93,g41
n33,g79,g25
n62,g19,g67
n11,g38,g85
n27,g73,g1
n50,g25,g76
n44,g33,g57
n12,g6,g34
n67,g52,g0
n75,g21,g80
n0,g56,g35
n22,g84,g48
n58,g64,g52
n36,g20,g33
n42,g5,g96
n61,g37,g44
n3,g46,g48
n29,g54,g4
n47,g9,g18
n49,g22,g93
n52,g9,g17
n59,g80,g26
n57,g64,g98
n66,g44,g43
n37,g84,g92
n13,g54,g89
n40,g42,g98
n19,g92,g64
n46,g13,g79
n7,g67,g72
n15,g71,g65
n48,g35,g10
n41,g96,g8
n64,g27,g64
n56,g8,g30
n2,g23,g55
n1,g26,g40
