n70,g33,g9
n65,g12,g8
n6,g94,g7
n35,g78,g93
n4,g89,g47
n32,g4,g14
n72,g52,g21
n74,g86,g94
n26,g38,g10
n21,g76,g68
n60,g52,g5
n20,g34,g33
n73,g54,g80
n51,g3,g72
n69,g37,g84
n71,g97,g18
n28,g34,g42
n77,g44,g25
n14,g65,g64
n45,g46,g90
n39,g87,g73
n5,g32,g52
n23,g95,g45
n24,g63,g67
n54,g64,g15
n16,g18,g46
n82,g17,g86
n17,g57,g5
n18,g82,g17
n63,g83,g15
n9,g63,g25
n25,g27,g1
n30,g16,g25
n31,g60,g28
n10,g67,g70
n43,g4,g62
n68,g99,g56
n34,g28,g97
n8,g5,g44
n79,g10,g64
n53,g8,g58
n55,g60,g47
n38,g16,g87
n33,g63,g44
n62,g32,g54
n11,g65,g20
n27,g67,g35
n50,g7,g83
n44,g19,g15
n12,g19,g0
n67,g17,g93
n75,g36,g82
n80,g29,g90
n0,g66,g43
n22,g31,g99
n81,g52,g98
n58,g62,g17
n36,g0,g64
n42,g90,g44
n61,g43,g96
n78,g44,g99
n3,g23,g82
n29,g36,g63
n47,g21,g30
n49,g24,g46
n52,g66,g33
n59,g13,g70
n57,g50,g63
n66,g62,g6
n37,g18,g76
n13,g53,g67
n40,g17,g6
n19,g57,g76
n46,g19,g16
n7,g43,g6
n15,g13,g10
n48,g99,g52
n41,g24,g30
n76,g16,g39
n64,g72,g19
n56,g19,g93
n2,g93,g8
n1,g21,g42
