n70,g93,g62
n65,g1,g48
n6,g85,g84
n35,g90,g72
n4,g13,g55
n32,g56,g15
n72,g27,g0
n74,g60,g91
n26,g20,g50
n21,g65,g73
n60,g1,g57
n20,g22,g78
n73,g12,g92
n51,g97,g72
n69,g51,g39
n71,g65,g43
n28,g57,g49
n77,g14,g20
n14,g43,g42
n45,g21,g78
n39,g24,g39
n5,g49,g17
n23,g15,g31
n24,g9,g60
n54,g47,g75
n16,g0,g1
n82,g70,g17
n17,g49,g81
n18,g44,g79
n63,g90,g94
n9,g87,g80
n25,g12,g78
n30,g15,g5
n31,g48,g88
n10,g37,g58
n43,g29,g36
n68,g51,g57
n34,g89,g75
n8,g83,g14
n79,g28,g4
n53,g86,g75
n55,g75,g34
n38,g70,g23
n33,g77,g75
n62,g10,g48
n11,g3,g70
n27,g9,g35
n50,g35,g46
n44,g27,g80
n12,g33,g41
n67,g39,g20
n75,g47,g60
n80,g61,g47
n0,g54,g78
n22,g2,g6
n81,g60,g46
n58,g15,g36
n36,g41,g31
n42,g39,g85
n61,g97,g1
n78,g45,g91
n3,g32,g74
n29,g3,g45
n47,g91,g63
n49,g30,g32
n52,g59,g19
n59,g38,g77
n57,g88,g16
n66,g43,g69
n37,g44,g27
n13,g68,g39
n40,g22,g37
n19,g94,g57
n46,g0,g16
n7,g84,g8
n15,g58,g5
n48,g13,g54
n41,g44,g11
n76,g43,g56
n64,g84,g52
n56,g1,g14
n2,g38,g52
n1,g37,g83
