n70,g78,g88
n65,g74,g67
n6,g63,g44
n35,g18,g50
n4,g76,g18
n32,g60,g87
n26,g57,g93
n21,g9,g69
n60,g29,g96
n20,g14,g57
n51,g0,g32
n69,g65,g27
n71,g0,g84
n28,g31,g54
n14,g94,g95
n45,g72,g27
n39,g65,g95
n5,g73,g25
n23,g74,g66
n24,g55,g12
n54,g56,g31
n16,g29,g68
n17,g1,g40
n18,g20,g43
n63,g73,g45
n9,g33,g75
n25,g8,g73
n30,g17,g20
n31,g0,g6
n10,g72,g48
n43,g53,g64
n68,g49,g26
n34,g99,g39
n8,g35,g41
n53,g53,g10
n55,g60,g12
n38,g7,g66
n33,g93,g99
n62,g84,g93
n11,g88,g98
n27,g62,g67
n50,g4,g72
n44,g28,g65
n12,g54,g96
n67,g32,g94
n0,g54,g57
n22,g53,g63
n58,g21,g64
n36,g31,g9
n42,g92,g89
n61,g44,g24
n3,g92,g80
n29,g39,g15
n47,g65,g38
n49,g17,g14
n52,g87,g14
n59,g30,g77
n57,g81,g12
n66,g50,g84
n37,g90,g0
n13,g12,g91
n40,g99,g60
n19,g19,g98
n46,g68,g75
n7,g56,g15
n15,g67,g97
n48,g61,g81
n41,g79,g98
n64,g86,g63
n56,g28,g86
n2,g38,g48
n1,g82,g25
