n70,g75,g10
n65,g7,g20
n6,g28,g96
n35,g98,g52
n4,g0,g25
n32,g96,g50
n26,g23,g60
n21,g55,g95
n60,g80,g28
n20,g0,g46
n51,g27,g99
n69,g6,g45
n71,g36,g37
n28,g26,g2
n14,g11,g84
n45,g85,g22
n39,g74,g49
n5,g82,g3
n23,g0,g75
n24,g70,g23
n54,g5,g37
n16,g3,g56
n17,g80,g78
n18,g39,g82
n63,g46,g28
n9,g82,g60
n25,g11,g55
n30,g40,g83
n31,g95,g61
n10,g73,g63
n43,g26,g43
n68,g68,g9
n34,g13,g58
n8,g80,g60
n53,g48,g43
n55,g35,g45
n38,g74,g62
n33,g26,g35
n62,g57,g48
n11,g95,g1
n27,g54,g53
n50,g76,g90
n44,g5,g63
n12,g95,g34
n67,g22,g97
n0,g22,g17
n22,g31,g57
n58,g21,g85
n36,g43,g59
n42,g43,g16
n61,g97,g33
n3,g18,g47
n29,g42,g32
n47,g53,g39
n49,g36,g51
n52,g70,g22
n59,g94,g15
n57,g61,g0
n66,g55,g89
n37,g57,g16
n13,g29,g69
n40,g20,g82
n19,g76,g9
n46,g15,g40
n7,g4,g23
n15,g31,g81
n48,g12,g43
n41,g70,g47
n64,g5,g64
n56,g72,g1
n2,g90,g79
n1,g99,g61
