n70,g78,g92
n65,g69,g21
n6,g69,g97
n35,g99,g24
n4,g61,g93
n32,g85,g1
n72,g49,g74
n74,g55,g50
n26,g89,g5
n21,g99,g55
n60,g80,g98
n20,g34,g24
n73,g86,g16
n51,g31,g17
n69,g54,g47
n71,g64,g85
n28,g57,g69
n77,g59,g39
n14,g5,g67
n45,g42,g3
n39,g97,g10
n5,g68,g88
n23,g14,g87
n24,g5,g24
n54,g35,g20
n16,g66,g10
n17,g11,g23
n18,g76,g13
n63,g58,g77
n9,g51,g78
n25,g85,g60
n30,g19,g38
n31,g52,g28
n10,g39,g44
n43,g90,g74
n68,g52,g98
n34,g29,g83
n8,g79,g23
n53,g52,g11
n55,g45,g23
n38,g79,g35
n33,g90,g30
n62,g69,g19
n11,g62,g6
n27,g18,g72
n50,g42,g34
n44,g26,g60
n12,g11,g86
n67,g13,g12
n75,g75,g64
n0,g29,g6
n22,g4,g17
n58,g95,g70
n36,g71,g75
n42,g6,g84
n61,g40,g12
n3,g17,g93
n29,g16,g76
n47,g52,g43
n49,g1,g4
n52,g55,g31
n59,g32,g1
n57,g28,g58
n66,g77,g7
n37,g38,g44
n13,g5,g46
n40,g9,g84
n19,g20,g57
n46,g35,g5
n7,g62,g72
n15,g45,g6
n48,g3,g7
n41,g2,g12
n76,g36,g56
n64,g79,g98
n56,g4,g55
n2,g84,g20
n1,g72,g70
