n70,g3,g31
n6,g99,g90
n4,g79,g13
n22,g53,g67
n21,g85,g35
n60,g57,g33
n79,g52,g19
n74,g16,g22
n69,g25,g39
n28,g12,g75
n14,g94,g88
n45,g63,g50
n5,g78,g37
n23,g85,g39
n24,g59,g50
n17,g42,g58
n54,g76,g78
n77,g63,g26
n63,g55,g61
n9,g28,g13
n25,g85,g91
n87,g96,g50
n10,g97,g53
n68,g84,g2
n34,g15,g29
n72,g6,g30
n73,g25,g74
n55,g35,g59
n44,g19,g64
n16,g51,g41
n80,g12,g80
n81,g13,g63
n75,g26,g27
n66,g23,g41
n47,g11,g10
n52,g76,g71
n59,g89,g23
n57,g71,g28
n71,g19,g63
n37,g71,g24
n31,g62,g12
n19,g5,g30
n46,g98,g83
n65,g58,g24
n85,g96,g58
n1,g88,g14
n84,g29,g73
n32,g84,g16
n26,g70,g56
n20,g96,g26
n53,g66,g41
n56,g95,g76
n76,g52,g22
n38,g59,g48
n13,g29,g18
n67,g34,g22
n41,g14,g18
n18,g50,g70
n11,g52,g48
n30,g85,g83
n35,g72,g56
n8,g19,g13
n83,g5,g98
n39,g98,g15
n33,g48,g79
n27,g50,g53
n50,g5,g86
n12,g5,g78
n82,g11,g69
n0,g41,g89
n43,g46,g83
n58,g52,g57
n36,g34,g72
n42,g14,g16
n61,g90,g61
n78,g97,g18
n3,g72,g96
n29,g85,g77
n49,g31,g86
n88,g48,g6
n86,g31,g39
n62,g92,g13
n40,g77,g37
n51,g93,g29
n7,g27,g35
n15,g8,g49
n48,g78,g68
n64,g45,g56
n2,g37,g53
