n70,g58,g91
n6,g51,g68
n4,g94,g86
n22,g27,g80
n21,g46,g71
n60,g6,g76
n79,g50,g38
n74,g47,g93
n69,g23,g2
n28,g85,g3
n14,g44,g39
n45,g36,g43
n5,g19,g26
n23,g77,g52
n24,g89,g0
n17,g88,g47
n54,g27,g6
n77,g87,g39
n63,g10,g3
n9,g29,g66
n25,g38,g96
n10,g12,g30
n68,g44,g53
n34,g0,g1
n72,g54,g84
n73,g44,g55
n55,g64,g68
n44,g80,g73
n16,g72,g50
n80,g25,g11
n81,g19,g43
n75,g82,g14
n66,g2,g16
n47,g84,g11
n52,g18,g48
n59,g76,g1
n57,g70,g3
n71,g20,g52
n37,g81,g57
n31,g98,g67
n19,g7,g42
n46,g91,g38
n65,g30,g78
n85,g13,g62
n1,g94,g13
n84,g11,g90
n32,g51,g50
n26,g50,g26
n20,g1,g19
n53,g93,g84
n56,g98,g59
n76,g54,g11
n38,g72,g92
n13,g6,g42
n67,g68,g28
n41,g74,g27
n18,g42,g14
n11,g32,g83
n30,g6,g90
n35,g35,g43
n8,g51,g25
n83,g84,g31
n39,g25,g39
n33,g16,g34
n27,g36,g62
n50,g28,g42
n12,g74,g99
n82,g28,g95
n0,g18,g97
n43,g41,g49
n58,g4,g73
n36,g56,g52
n42,g98,g12
n61,g52,g14
n78,g39,g34
n3,g13,g92
n29,g1,g47
n49,g66,g86
n86,g78,g89
n62,g64,g71
n40,g8,g44
n51,g30,g15
n7,g64,g99
n15,g83,g68
n48,g33,g23
n64,g95,g26
n2,g17,g42
