n70,g23,g3
n6,g79,g20
n4,g16,g55
n22,g11,g34
n21,g80,g26
n60,g85,g9
n79,g14,g32
n74,g58,g48
n69,g94,g86
n28,g73,g43
n14,g15,g50
n45,g39,g74
n5,g58,g60
n23,g85,g8
n24,g67,g14
n17,g5,g10
n54,g83,g42
n77,g71,g66
n63,g99,g27
n9,g76,g0
n25,g26,g64
n10,g84,g40
n68,g74,g4
n34,g94,g76
n72,g15,g71
n73,g67,g68
n55,g85,g42
n44,g12,g1
n16,g66,g88
n80,g19,g83
n81,g93,g52
n75,g53,g66
n66,g16,g48
n47,g15,g77
n52,g13,g26
n59,g44,g34
n57,g0,g42
n71,g54,g7
n37,g77,g85
n31,g9,g19
n19,g56,g27
n46,g62,g69
n65,g82,g91
n85,g4,g11
n1,g55,g97
n84,g38,g93
n32,g9,g82
n26,g45,g81
n20,g39,g88
n53,g40,g61
n56,g69,g38
n76,g69,g90
n38,g70,g72
n13,g0,g60
n67,g65,g72
n41,g21,g30
n18,g70,g81
n11,g16,g2
n30,g7,g2
n35,g60,g26
n8,g33,g92
n83,g49,g41
n39,g67,g53
n33,g70,g55
n27,g71,g97
n50,g1,g29
n12,g28,g54
n82,g36,g5
n0,g55,g21
n43,g94,g33
n58,g89,g10
n36,g92,g69
n42,g26,g20
n61,g90,g34
n78,g32,g98
n3,g46,g9
n29,g18,g30
n49,g46,g88
n86,g96,g18
n62,g3,g80
n40,g0,g37
n51,g70,g59
n7,g58,g75
n15,g48,g98
n48,g57,g0
n64,g4,g85
n2,g90,g86
