n70,g46,g72
n65,g58,g82
n6,g88,g95
n35,g59,g36
n4,g36,g87
n32,g37,g34
n26,g72,g47
n21,g6,g43
n60,g1,g76
n20,g99,g37
n51,g47,g29
n69,g15,g26
n28,g53,g47
n14,g70,g3
n45,g99,g76
n39,g34,g71
n5,g4,g35
n23,g5,g25
n24,g96,g53
n54,g21,g12
n16,g76,g73
n17,g32,g42
n18,g30,g39
n63,g15,g63
n9,g58,g86
n25,g55,g90
n30,g79,g53
n31,g70,g76
n10,g10,g76
n43,g44,g50
n68,g79,g22
n34,g6,g88
n8,g78,g18
n53,g18,g59
n55,g97,g1
n38,g6,g78
n33,g62,g64
n62,g31,g0
n11,g91,g81
n27,g99,g96
n50,g68,g98
n44,g92,g69
n12,g23,g88
n67,g80,g47
n0,g86,g96
n22,g99,g7
n58,g71,g23
n36,g4,g0
n42,g91,g7
n61,g32,g51
n3,g44,g22
n29,g82,g43
n47,g6,g3
n49,g99,g64
n52,g30,g38
n59,g81,g40
n57,g33,g16
n66,g44,g21
n37,g72,g60
n13,g13,g31
n40,g49,g90
n19,g40,g71
n46,g57,g28
n7,g34,g83
n15,g29,g25
n48,g0,g42
n41,g57,g60
n64,g39,g62
n56,g58,g40
n2,g8,g63
n1,g21,g2
