n70,g23,g77
n65,g0,g94
n6,g60,g22
n35,g2,g97
n4,g73,g69
n32,g4,g21
n72,g64,g6
n74,g54,g68
n26,g57,g15
n21,g82,g18
n60,g22,g83
n20,g53,g86
n73,g36,g85
n51,g74,g47
n69,g58,g70
n71,g28,g68
n28,g88,g71
n14,g10,g81
n45,g42,g9
n39,g59,g35
n5,g83,g2
n23,g13,g0
n24,g61,g19
n54,g69,g75
n16,g98,g54
n17,g15,g81
n18,g29,g50
n63,g2,g19
n9,g29,g48
n25,g20,g44
n30,g15,g88
n31,g51,g43
n10,g24,g48
n43,g50,g10
n68,g48,g42
n34,g24,g31
n8,g77,g21
n53,g87,g93
n55,g79,g6
n38,g25,g37
n33,g77,g17
n62,g21,g7
n11,g80,g14
n27,g44,g0
n50,g31,g41
n44,g6,g8
n12,g77,g10
n67,g62,g69
n0,g53,g44
n22,g24,g14
n58,g73,g66
n36,g85,g52
n42,g74,g66
n61,g43,g46
n3,g41,g65
n29,g71,g49
n47,g0,g63
n49,g4,g1
n52,g8,g43
n59,g22,g67
n57,g28,g72
n66,g25,g78
n37,g39,g13
n13,g79,g90
n40,g72,g80
n19,g53,g8
n46,g85,g4
n7,g72,g18
n15,g46,g23
n48,g5,g96
n41,g14,g10
n64,g32,g59
n56,g50,g12
n2,g71,g48
n1,g67,g19
