n70,g27,g91
n65,g73,g39
n6,g41,g85
n35,g87,g40
n4,g63,g90
n32,g96,g16
n72,g92,g99
n74,g86,g81
n26,g81,g29
n21,g48,g74
n60,g42,g22
n20,g10,g23
n73,g25,g14
n51,g74,g30
n69,g36,g96
n71,g46,g0
n28,g51,g7
n14,g86,g74
n45,g5,g23
n39,g66,g33
n5,g1,g5
n23,g61,g52
n24,g50,g40
n54,g84,g7
n16,g10,g98
n17,g12,g89
n18,g14,g5
n63,g6,g40
n9,g74,g58
n25,g88,g90
n30,g0,g23
n31,g20,g6
n10,g44,g66
n43,g61,g83
n68,g20,g77
n34,g58,g3
n8,g54,g42
n53,g74,g89
n55,g40,g89
n38,g45,g30
n33,g65,g52
n62,g36,g90
n11,g21,g66
n27,g14,g55
n50,g79,g13
n44,g48,g68
n12,g85,g80
n67,g41,g71
n0,g39,g29
n22,g88,g36
n58,g2,g94
n36,g43,g52
n42,g80,g5
n61,g84,g90
n3,g32,g35
n29,g1,g75
n47,g56,g1
n49,g61,g75
n52,g54,g4
n59,g76,g87
n57,g69,g9
n66,g56,g9
n37,g44,g59
n13,g82,g20
n40,g57,g65
n19,g11,g60
n46,g15,g33
n7,g56,g38
n15,g75,g99
n48,g48,g6
n41,g15,g94
n64,g73,g44
n56,g22,g73
n2,g30,g16
n1,g63,g88
