n70,g68,g18
n65,g89,g90
n6,g44,g90
n35,g71,g33
n4,g72,g4
n32,g53,g36
n72,g3,g82
n74,g77,g96
n26,g50,g86
n21,g35,g71
n60,g48,g45
n20,g66,g30
n73,g84,g2
n51,g4,g45
n69,g3,g52
n71,g67,g51
n28,g86,g65
n14,g34,g94
n45,g7,g78
n39,g65,g41
n5,g75,g70
n23,g14,g99
n24,g39,g3
n54,g73,g83
n16,g57,g61
n17,g50,g11
n18,g13,g10
n63,g59,g6
n9,g1,g69
n25,g56,g58
n30,g14,g22
n31,g18,g71
n10,g70,g27
n43,g35,g48
n68,g6,g0
n34,g40,g81
n8,g51,g8
n53,g41,g19
n55,g32,g59
n38,g49,g37
n33,g90,g13
n62,g87,g43
n11,g25,g69
n27,g15,g42
n50,g95,g25
n44,g80,g77
n12,g35,g65
n67,g37,g91
n0,g31,g66
n22,g83,g62
n58,g14,g56
n36,g83,g84
n42,g63,g73
n61,g71,g4
n3,g65,g90
n29,g52,g94
n47,g35,g75
n49,g45,g89
n52,g79,g76
n59,g25,g98
n57,g56,g96
n66,g48,g74
n37,g20,g70
n13,g17,g5
n40,g54,g66
n19,g94,g26
n46,g32,g5
n7,g10,g81
n15,g32,g34
n48,g37,g4
n41,g90,g81
n64,g46,g98
n56,g94,g47
n2,g32,g10
n1,g4,g19
